End Year,End Year Code,District,District Code,School,School Code,Level,Level Code,Proficiency Score,Classification,Classification Code,Rating,Rating Code
2012,0,Adair County,1,Adair County Elementary School,1016,ES,0,63,Proficient,1.0,,
2012,0,Adair County,1,Adair County High School,1010,HS,2,55,Needs Improvement,0.0,,
2012,0,Adair County,1,Adair County Middle School,1014,MS,1,48,Needs Improvement,0.0,,
2012,0,Adair County,1,John Adair Intermediate School,1013,ES,0,69,Proficient,1.0,,
2012,0,Allen County,5,Allen County Intermediate Center,5060,ES,0,56,Needs Improvement,0.0,,
2012,0,Allen County,5,Allen County Primary Center,5010,ES,0,50,Needs Improvement,0.0,,
2012,0,Allen County,5,Allen County-Scottsville High School,5020,HS,2,51,Needs Improvement,0.0,,
2012,0,Allen County,5,James E Bazzell Middle School,5015,MS,1,57,Needs Improvement,0.0,,
2012,0,Anchorage Independent,6,Anchorage Independent Public School,6010,MS,1,92,Distinguished,2.0,,
2012,0,Anchorage Independent,6,Anchorage Independent Public School,6010,ES,0,71,Distinguished,2.0,,
2012,0,Anderson County,11,Anderson County High School,11020,HS,2,60,Proficient,1.0,,
2012,0,Anderson County,11,Anderson County Middle School,11025,MS,1,53,Needs Improvement,0.0,,
2012,0,Anderson County,11,Emma B. Ward Elementary School,11110,ES,0,62,Needs Improvement,0.0,,
2012,0,Anderson County,11,Robert B. Turner Elementary School,11022,ES,0,67,Proficient,1.0,,
2012,0,Anderson County,11,Saffell Street Elementary School,11050,ES,0,54,Needs Improvement,0.0,,
2012,0,Ashland Independent,12,Ashland Middle School,12050,MS,1,56,Needs Improvement,0.0,,
2012,0,Ashland Independent,12,Charles Russell Elementary School,12130,ES,0,65,Proficient,1.0,,
2012,0,Ashland Independent,12,Crabbe Elementary School,12070,ES,0,48,Needs Improvement,0.0,,
2012,0,Ashland Independent,12,Hager Elementary School,12080,ES,0,76,Distinguished,2.0,,
2012,0,Ashland Independent,12,Oakview Elementary School,12100,ES,0,63,Proficient,1.0,,
2012,0,Ashland Independent,12,Paul G. Blazer High School,12010,HS,2,59,Proficient,1.0,,
2012,0,Ashland Independent,12,Poage Elementary School,12110,ES,0,64,Proficient,1.0,,
2012,0,Augusta Independent,13,Augusta Independent School,13011,ES,0,46,Needs Improvement,0.0,,
2012,0,Augusta Independent,13,Augusta Independent School,13011,MS,1,47,Needs Improvement,0.0,,
2012,0,Augusta Independent,13,Augusta Independent School,13011,HS,2,58,Needs Improvement,0.0,,
2012,0,Ballard County,15,Ballard County Elementary School,15050,ES,0,59,Needs Improvement,0.0,,
2012,0,Ballard County,15,Ballard County Middle School,15005,MS,1,63,Proficient,1.0,,
2012,0,Ballard County,15,Ballard Memorial High School,15010,HS,2,54,Needs Improvement,0.0,,
2012,0,Barbourville Independent,16,Barbourville City School,16011,HS,2,57,Needs Improvement,0.0,,
2012,0,Barbourville Independent,16,Barbourville City School,16011,ES,0,45,Needs Improvement,0.0,,
2012,0,Barbourville Independent,16,Barbourville City School,16011,MS,1,50,Needs Improvement,0.0,,
2012,0,Bardstown Independent,17,Bardstown Elementary School,17010,ES,0,51,Needs Improvement,0.0,,
2012,0,Bardstown Independent,17,Bardstown High School,17020,HS,2,56,Needs Improvement,0.0,,
2012,0,Bardstown Independent,17,Bardstown Middle School,17030,MS,1,48,Needs Improvement,0.0,,
2012,0,Barren County,21,Austin Tracy Elementary School,21010,ES,0,56,Needs Improvement,0.0,,
2012,0,Barren County,21,Barren County High School,21027,HS,2,50,Needs Improvement,0.0,,
2012,0,Barren County,21,Barren County Middle School,21050,MS,1,62,Proficient,1.0,,
