District Code,District,School,School Code,School Type,Title I Status,Level,Latitude,Longitude
1,Adair County,Adair County High School,1010,A1,Title 1 Eligible - Schoolwide School,HS,37.107858,-85.328527
1,Adair County,Adair Learning Academy,1012,A6,Not a Title 1 School,HS,37.08540711,-85.30522446
1,Adair County,John Adair Intermediate School,1013,,,ES,,
1,Adair County,Adair County Middle School,1014,A1,Title 1 Eligible - Schoolwide School,MS,37.103889,-85.324549
1,Adair County,Adair County Elementary School,1016,A1,Title 1 Eligible - Schoolwide School,ES,37.111644,-85.329785
1,Adair County,Adair County Primary Center,1020,A1,Title 1 Eligible - Schoolwide School,ES,37.10714077,-85.33294873
5,Allen County,Allen County Primary Center,5010,A1,Title 1 Eligible - Schoolwide School,ES,36.746802,-86.216972
5,Allen County,James E Bazzell Middle School,5015,A1,Title 1 Eligible - Schoolwide School,MS,36.753125,-86.214432
5,Allen County,Allen County-Scottsville High School,5020,A1,Title 1 Eligible - Schoolwide School,HS,36.753959,-86.217027
5,Allen County,Allen County Intermediate Center,5060,A1,Title 1 Eligible - Schoolwide School,ES,36.749177,-86.218524
5,Allen County,Allen County Career and Technical Center,5901,A2,Not a Title 1 School,HS,36.7542,-86.217567
6,Anchorage Independent,Anchorage Independent Public School,6010,A1,Title 1 Eligible - Targeted Assistance School,MS,38.265763,-85.543599
6,Anchorage Independent,Anchorage Independent Public School,6010,A1,Title I Eligible - Targeted Assistance School,ES,38.265763,-85.543599
11,Anderson County,Anderson County High School,11020,A1,Title 1 Eligible - No Program,HS,38.02332064,-84.90806478
11,Anderson County,Robert B. Turner Elementary School,11022,A1,Title 1 Eligible - Schoolwide School,ES,38.0139867,-84.92278488
11,Anderson County,Anderson County Middle School,11025,A1,Title 1 Eligible - No Program,MS,38.03873169,-84.90069753
11,Anderson County,APEX Academy,11030,A5,Not a Title 1 School,HS,38.022454,-84.908411
11,Anderson County,Saffell Street Elementary School,11050,A1,Title 1 Eligible - Schoolwide School,ES,38.03194853,-84.89782558
11,Anderson County,Emma B. Ward Elementary School,11110,A1,Title 1 Eligible - Schoolwide School,ES,38.047489,-84.911785
11,Anderson County,Ezra Sparrow Early Childhood Center,11120,A1,Title 1 Eligible - Schoolwide School,ES,38.048824,-84.913416
12,Ashland Independent,Ashland Virtual Learning Center,12005,A5,Not a Title 1 School,HS,38.450271,-82.623879
12,Ashland Independent,Paul G. Blazer High School,12010,A1,Title 1 Eligible - No Program,HS,38.454541,-82.663218
12,Ashland Independent,Ashland Middle School,12050,A1,Title 1 Eligible - Schoolwide School,MS,38.456244,-82.649855
12,Ashland Independent,Crabbe Elementary School,12070,A1,Title 1 Eligible - Schoolwide School,ES,38.475661,-82.64009
12,Ashland Independent,Hager Elementary School,12080,A1,Title 1 Eligible - Schoolwide School,ES,38.462921,-82.657692
12,Ashland Independent,Oakview Elementary School,12100,A1,Title 1 Eligible - Schoolwide School,ES,38.455073,-82.643467
12,Ashland Independent,Poage Elementary School,12110,A1,Title 1 Eligible - Schoolwide School,ES,38.453768,-82.654893
12,Ashland Independent,Charles Russell Elementary School,12130,A1,Title 1 Eligible - Schoolwide School,ES,38.450253,-82.62394
13,Augusta Independent,Augusta Independent School,13011,A1,Title I Eligible - Schoolwide School,ES,38.773646,-84.003661
13,Augusta Independent,Augusta Independent School,13011,A1,Title I Eligible - Schoolwide School,MS,38.773646,-84.003661
13,Augusta Independent,Augusta Independent School,13011,A1,Title 1 Eligible - Schoolwide School,HS,38.773646,-84.003661
15,Ballard County,Ballard County Middle School,15005,A1,Title 1 Eligible - Schoolwide School,MS,37.068172,-88.987398
15,Ballard County,Ballard Memorial High School,15010,A1,Title 1 Eligible - No Program,HS,37.068001,-88.988021
15,Ballard County,Ballard County Elementary School,15050,A1,Title 1 Eligible - Schoolwide School,ES,37.067183,-88.991159
15,Ballard County,Ballard County Career and Technology Ctr,15905,A2,Not a Title 1 School,HS,37.0688388,-88.9859046
16,Barbourville Independent,Barbourville City School,16011,A1,Title 1 Eligible - Schoolwide School,HS,36.871216,-83.89349
16,Barbourville Independent,Barbourville City School,16011,A1,Title I Eligible - Schoolwide School,ES,36.871216,-83.89349
16,Barbourville Independent,Barbourville City School,16011,A1,Title I Eligible - Schoolwide School,MS,36.871216,-83.89349
17,Bardstown Independent,Bardstown Alternative School,17005,A5,Not a Title 1 School,HS,37.825316,-85.481457
17,Bardstown Independent,Bardstown Elementary School,17010,A1,Title 1 Eligible - Schoolwide School,ES,37.814488,-85.470714
17,Bardstown Independent,Bardstown Primary School,17012,A1,Title 1 Eligible - Schoolwide School,ES,37.823739,-85.474119
17,Bardstown Independent,Bardstown High School,17020,A1,Title 1 Eligible - No Program,HS,37.814849,-85.469137
17,Bardstown Independent,Bardstown Middle School,17030,A1,Title 1 Eligible - No Program,MS,37.815434,-85.469952
21,Barren County,Austin Tracy Elementary School,21010,A1,Title 1 Eligible - Schoolwide School,ES,36.830252,-86.03224
21,Barren County,College Street Campus,21011,A5,Not a Title 1 School,HS,36.991976,-85.910581
21,Barren County,BAVEL,21012,A5,Not a Title 1 School,HS,36.97723,-85.916366
21,Barren County,North Jackson Elementary,21014,A1,Title 1 Eligible - Schoolwide School,ES,37.019622,-85.905006
21,Barren County,Barren County High School,21027,A1,Title 1 Eligible - No Program,HS,36.975084,-85.918673
21,Barren County,Eastern Elementary School,21035,A1,Title 1 Eligible - Schoolwide School,ES,36.982059,-85.832395
21,Barren County,Barren County Middle School,21050,A1,Title 1 Eligible - No Program,MS,36.975174,-85.923374
21,Barren County,Hiseville Elementary School,21080,A1,Title 1 Eligible - Schoolwide School,ES,37.099426,-85.819566
