Dist No,District name,1989-90,% CHG,,1990-91,% CHG,,1991-92,% CHG,,1992-93,% CHG,,1993-94,% CHG,,1994-95,% CHG,,1995-96,% CHG,,1996-97,% CHG,,1997-98,% CHG,,1998-99,% CHG,,1999-00,% CHG,,2000-01,% CHG,,2001-02,% CHG,,2002-03,% CHG,,2003-04,% CHG,,2004-05,% CHG,,2005-06,% CHG,,2006-07,% CHG,,2007-08,% CHG,,2008-09,% CHG,,2009-10,% CHG,,2010-11,% CHG,,2011-12,% CHG,,2012-13,% CHG,,2013-14,% CHG,,2014-15,% CHG,,2015-16,% CHG,,2016-17,% CHG,,2017-18,% CHG,,2018-19,% CHG,,2019-20,% CHG,,2020-21,% CHG,,2021-22,% CHG,,2022-23,% CHG,,2023-24,,,,,,,
001,ADAIR CO,25779.00,7.51,+,27714.00,8.26,+,30002.00,0.22,+,30069.00,0.84,-,29819.00,3.86,+,30971.00,1.29,+,31371.00,2.75,+,32233.00,0.22,+,32303.00,2.96,+,33258.00,2.06,+,33943.00,4.42,+,35444.27,2.06,+,36174.26,2.57,+,37103.62,2.20,+,37918.56,2.65,+,38922.62,4.25,+,40576.06,3.04,+,41809.63,9.94,+,45964.25,3.30,+,47482.31,1.11,+,48008.75,0.28,-,47873.84,0.37,+,48053.06,0.03,+,48067.62,1.18,-,47499.10,0.06,+,47525.40,1.00,+,47998.89,0.47,-,47774.87,6.59,+,50924.84,0.40,+,51127.04,0.86,-,50685.12,0.86,+,51120.31,1.00,-,50609.81,5.93,+,53609.12,0.55,-,53316.10,,,,,,,
005,ALLEN CO,25480.00,9.20,+,27825.00,4.72,+,29139.00,1.74,+,29645.00,3.34,+,30635.00,2.53,+,31410.00,1.15,+,31770.00,1.87,+,32364.00,3.34,+,33445.00,3.54,+,34628.00,3.60,+,35876.00,1.22,+,36312.00,4.94,+,38105.61,0.59,+,38330.53,3.16,+,39540.05,3.54,+,40940.79,2.27,+,41869.19,1.77,+,42610.31,8.30,+,46148.41,0.98,+,46601.70,1.94,+,47504.33,2.36,-,46385.45,0.75,+,46735.36,1.65,+,47504.31,1.66,+,48294.27,0.74,+,48651.09,3.00,+,50108.52,0.73,-,49741.86,0.15,+,49816.68,0.35,+,49989.84,1.26,+,50617.26,3.15,+,52209.95,0.82,+,52639.27,0.03,-,52624.75,2.50,+,53941.74,,,,,,,
006,ANCHORAGE,28736.00,7.89,+,31003.00,6.33,+,32966.00,5.64,+,34826.00,0.22,+,34901.00,3.36,+,36072.00,0.94,+,36410.00,1.22,+,36854.00,3.64,+,38196.00,4.80,+,40031.00,6.86,+,42778.00,1.73,+,43518.18,2.70,+,44692.21,6.58,+,47635.17,5.37,+,50195.54,4.80,+,52606.07,3.66,+,54529.37,3.24,+,56294.85,4.84,+,59021.57,0.23,+,59156.66,0.99,-,58571.92,3.91,+,60859.50,0.44,-,60590.42,2.61,+,62173.85,0.18,-,62061.77,0.92,+,62632.85,1.66,-,61594.22,2.42,+,63082.53,0.94,-,62491.25,8.00,+,67487.99,1.71,+,68644.00,0.72,-,68150.74,5.11,+,71634.04,2.98,+,73766.18,5.81,+,78052.01,,,,,,,
011,ANDERSON CO,24692.00,10.93,+,27390.00,6.56,+,29186.00,2.45,+,29901.00,2.05,+,30513.00,2.61,+,31309.00,2.13,+,31977.00,2.30,+,32711.00,2.88,+,33653.00,1.04,+,34003.00,0.08,-,33976.00,0.82,+,34254.42,3.68,+,35515.89,2.67,+,36464.22,2.28,+,37294.10,3.39,+,38558.80,2.41,+,39489.36,5.68,+,41731.77,7.84,+,45002.13,2.80,+,46262.78,2.37,+,47359.13,1.81,-,46501.04,0.16,-,46426.50,0.53,+,46670.79,0.24,+,46781.61,0.68,+,47098.20,2.92,+,48471.46,0.72,-,48122.21,0.82,+,48516.71,1.78,+,49381.08,0.79,+,49769.38,2.62,+,51072.87,0.53,+,51342.49,2.35,+,52551.06,3.97,+,54635.59,,,,,,,
012,ASHLAND,27422.00,9.97,+,30155.00,4.11,+,31395.00,1.26,+,31792.00,3.00,+,32745.00,1.41,+,33207.00,0.27,-,33117.00,3.32,+,34216.00,1.55,+,34746.00,4.29,+,36236.00,1.49,+,36775.00,3.86,+,38193.15,2.62,+,39195.69,1.83,+,39913.01,4.06,+,41535.07,3.78,+,43105.63,3.17,+,44471.51,3.40,+,45984.07,8.68,+,49976.71,0.51,-,49723.15,1.79,+,50613.24,2.96,-,49114.10,0.11,+,49167.87,1.25,+,49780.36,0.53,-,49514.69,0.31,+,49667.53,1.20,+,50265.12,0.12,-,50202.70,1.77,-,49313.31,0.65,-,48992.26,1.53,+,49741.33,1.54,+,50507.66,1.03,+,51026.71,0.11,+,51083.24,2.07,+,52140.91,,,,,,,
013,AUGUSTA,24111.00,12.05,+,27017.00,7.22,+,28967.00,0.13,-,28930.00,2.53,-,28217.00,0.16,-,28173.00,2.74,+,28944.00,1.80,+,29465.00,1.53,-,29022.00,6.71,+,30969.00,1.86,+,31546.00,12.26,+,35412.84,9.34,-,32105.80,2.59,-,31273.74,3.32,-,30235.30,4.78,+,31680.53,5.77,+,33508.37,1.96,-,32853.01,14.31,+,37555.32,2.23,+,38394.42,5.25,+,40409.14,0.75,-,40106.81,5.08,-,38069.95,1.87,+,38782.94,1.32,+,39294.96,5.63,+,41508.46,0.57,+,41743.09,1.91,+,42540.29,2.97,+,43805.54,2.17,+,44756.40,0.64,-,44472.05,0.73,+,44796.29,1.85,+,45624.05,3.62,+,47274.76,1.31,-,46655.01,,,,,,,
015,BALLARD CO,25795.00,8.84,+,28074.00,4.25,+,29267.00,1.07,-,28958.00,1.31,+,29336.00,5.23,+,30870.00,2.19,+,31545.00,3.84,+,32757.00,1.42,+,33223.00,0.20,-,33158.00,1.85,+,33772.00,1.93,+,34425.14,4.33,+,35914.90,2.65,+,36864.98,4.13,+,38387.37,1.45,+,38943.25,0.50,+,39136.15,1.04,+,39542.86,10.23,+,43588.03,2.10,+,44503.67,3.00,+,45838.97,1.60,-,45107.45,0.47,-,44895.47,1.46,+,45553.02,0.56,-,45296.18,1.44,+,45947.56,2.55,+,47119.48,0.81,+,47502.24,1.76,-,46667.04,0.36,-,46500.05,0.52,+,46739.80,3.20,+,48233.65,2.40,+,49390.97,0.37,+,49571.50,3.83,+,51471.83,,,,,,,
016,BARBOURVILLE,23219.00,11.34,+,25851.00,7.85,+,27880.00,3.07,+,28735.00,3.57,+,29761.00,4.21,+,31014.00,0.13,+,31055.00,4.46,+,32440.00,6.01,+,34390.00,1.36,+,34858.00,3.55,+,36094.00,2.00,+,36814.92,1.24,-,36358.48,0.48,-,36185.54,7.38,+,38854.27,2.72,+,39912.95,6.70,+,42585.21,0.07,+,42613.55,10.24,+,46977.78,2.10,+,47965.55,1.11,-,47433.85,0.00,+,47434.47,1.99,-,46490.04,2.33,+,47574.36,0.29,-,47438.23,1.95,+,48363.14,3.45,+,50029.51,1.13,-,49464.82,2.08,-,48436.90,1.14,+,48987.24,1.98,-,48019.71,1.68,+,48824.49,2.17,-,47765.93,4.35,+,49845.78,1.23,+,50460.67,,,,,,,
017,BARDSTOWN,26715.00,9.73,+,29315.00,5.40,+,30897.00,0.97,-,30599.00,2.79,+,31454.00,4.86,+,32982.00,1.46,+,33464.00,2.69,+,34365.00,1.17,-,33966.00,2.18,+,34705.00,3.14,+,35794.00,6.91,+,38268.71,6.33,+,40691.33,3.31,+,42037.84,2.30,+,43003.38,3.27,+,44409.31,5.12,+,46684.57,2.69,+,47940.66,7.06,+,51326.93,0.91,+,51794.74,1.10,+,52363.69,0.54,-,52079.93,2.47,+,53364.71,1.05,+,53927.62,2.13,+,55076.01,1.16,+,55714.94,2.75,+,57247.99,0.22,+,57372.38,1.76,+,58382.13,1.52,+,59270.08,2.10,+,60515.59,2.72,+,62161.65,1.64,+,63184.04,2.17,+,64552.10,0.48,-,64241.63,,,,,,,
021,BARREN CO,25032.00,12.57,+,28179.00,7.48,+,30288.00,1.21,+,30653.00,0.06,-,30635.00,1.92,+,31223.00,1.01,+,31538.00,1.67,+,32064.00,3.15,+,33075.00,4.11,+,34435.00,1.95,+,35107.00,1.61,+,35670.59,2.65,+,36614.16,2.64,+,37581.75,2.94,+,38685.22,5.72,+,40898.98,3.54,+,42345.67,0.97,+,42755.99,8.60,+,46433.47,1.09,+,46939.85,1.22,+,47512.96,0.93,-,47071.84,1.15,+,47612.37,1.06,+,48116.86,1.27,+,48727.59,2.59,+,49987.28,1.65,+,50812.09,0.31,+,50971.09,0.36,-,50788.37,0.84,-,50361.30,0.19,+,50457.89,1.46,+,51192.33,1.42,+,51917.06,3.14,+,53546.02,4.65,+,56038.46,,,,,,,
