SCH_YEAR,CATEGORY,SCH_CD,DIST_NAME,SCH_NAME,CONTENT_LEVEL,OVERALL_SCORE,KY_RANK,CLASSIFICATION,REWARD_RECOGNITION,BASE_YR_SCORE,GAIN_NEEDED,AMO_GOAL,NEXT_YR_SCORE,AMO_MET
20112012,Accountability,001016,Adair County,Adair County Elementary School,Elementary School,62.9,71,Proficient,,62.9,0.5,63.4,,
20112012,Accountability,001010,Adair County,Adair County High School,High School,55.4,57,Needs Improvement,,55.4,1.0,56.4,,
20112012,Accountability,001014,Adair County,Adair County Middle School,Middle School,48.3,25,Needs Improvement,Focus School,48.3,1.0,49.3,,
20112012,Accountability,001013,Adair County,John Adair Intermediate School,Elementary School,69.0,88,Proficient,,69.0,0.5,69.5,,
20112012,Accountability,005060,Allen County,Allen County Intermediate Center,Elementary School,56.5,45,Needs Improvement,,56.5,1.0,57.5,,
20112012,Accountability,005010,Allen County,Allen County Primary Center,Elementary School,49.7,22,Needs Improvement,,49.7,1.0,50.7,,
20112012,Accountability,005020,Allen County,Allen County-Scottsville High School,High School,50.6,27,Needs Improvement,Focus School,50.6,1.0,51.6,,
20112012,Accountability,005015,Allen County,James E Bazzell Middle School,Middle School,56.7,60,Needs Improvement,,56.7,1.0,57.7,,
20112012,Accountability,006010,Anchorage Independent,Anchorage Independent Public School,Elementary School,71.1,93,Distinguished,High Performing School,71.1,0.5,71.6,,
20112012,Accountability,006010,Anchorage Independent,Anchorage Independent Public School,Middle School,91.6,99,Distinguished,School of Distinction,91.6,0.5,92.1,,
20112012,Accountability,011020,Anderson County,Anderson County High School,High School,59.9,76,Proficient,Focus School,59.9,0.5,60.4,,
20112012,Accountability,011025,Anderson County,Anderson County Middle School,Middle School,52.7,44,Needs Improvement,,52.7,1.0,53.7,,
20112012,Accountability,011110,Anderson County,Emma B. Ward Elementary School,Elementary School,62.1,68,Needs Improvement,,62.1,1.0,63.1,,
20112012,Accountability,011022,Anderson County,Robert B. Turner Elementary School,Elementary School,67.3,84,Proficient,,67.3,0.5,67.8,,
20112012,Accountability,011050,Anderson County,Saffell Street Elementary School,Elementary School,53.5,34,Needs Improvement,,53.5,1.0,54.5,,
20112012,Accountability,012130,Ashland Independent,Charles Russell Elementary School,Elementary School,65.1,79,Proficient,,65.1,0.5,65.6,,
20112012,Accountability,012070,Ashland Independent,Crabbe Elementary School,Elementary School,48.2,17,Needs Improvement,Focus School,48.2,1.0,49.2,,
20112012,Accountability,012050,Ashland Independent,George M. Verity Middle School,Middle School,56.4,59,Needs Improvement,Focus School,56.4,1.0,57.4,,
20112012,Accountability,012080,Ashland Independent,Hager Elementary School,Elementary School,76.3,99,Distinguished,School of Distinction,76.3,0.5,76.8,,
20112012,Accountability,012100,Ashland Independent,Oakview Elementary School,Elementary School,63.0,72,Proficient,,63.0,0.5,63.5,,
20112012,Accountability,012010,Ashland Independent,Paul G. Blazer High School,High School,58.9,73,Proficient,,58.9,0.5,59.4,,
20112012,Accountability,012110,Ashland Independent,Poage Elementary School,Elementary School,63.7,75,Proficient,,63.7,0.5,64.2,,
20112012,Accountability,013011,Augusta Independent,Augusta Independent School,Middle School,47.4,22,Needs Improvement,,47.4,1.0,48.4,,
20112012,Accountability,013011,Augusta Independent,Augusta Independent School,Elementary School,46.1,12,Needs Improvement,,46.1,1.0,47.1,,
20112012,Accountability,013011,Augusta Independent,Augusta Independent School,High School,57.9,69,Needs Improvement,,57.9,1.0,58.9,,
20112012,Accountability,015050,Ballard County,Ballard County Elementary School,Elementary School,58.8,55,Needs Improvement,,58.8,1.0,59.8,,
20112012,Accountability,015005,Ballard County,Ballard County Middle School,Middle School,63.1,86,Proficient,,63.1,0.5,63.6,,
20112012,Accountability,015010,Ballard County,Ballard Memorial High School,High School,54.3,48,Needs Improvement,,54.3,1.0,55.3,,
20112012,Accountability,016011,Barbourville Independent,Barbourville City School,Elementary School,44.9,10,Needs Improvement,,44.9,1.0,45.9,,
20112012,Accountability,016011,Barbourville Independent,Barbourville City School,Middle School,50.3,34,Needs Improvement,,50.3,1.0,51.3,,
20112012,Accountability,016011,Barbourville Independent,Barbourville City School,High School,57.3,65,Needs Improvement,,57.3,1.0,58.3,,
20112012,Accountability,017010,Bardstown Independent,Bardstown Elementary School,Elementary School,51.3,26,Needs Improvement,,51.3,1.0,52.3,,
20112012,Accountability,017020,Bardstown Independent,Bardstown High School,High School,56.0,58,Needs Improvement,Focus School,56.0,1.0,57.0,,
20112012,Accountability,017030,Bardstown Independent,Bardstown Middle School,Middle School,47.5,23,Needs Improvement,Focus School,47.5,1.0,48.5,,
20112012,Accountability,021010,Barren County,Austin Tracy Elementary School,Elementary School,56.4,44,Needs Improvement,,56.4,1.0,57.4,,
20112012,Accountability,021027,Barren County,Barren County High School,High School,49.5,23,Needs Improvement,,49.5,1.0,50.5,,
20112012,Accountability,021050,Barren County,Barren County Middle School,Middle School,62.1,83,Proficient,Focus School,62.1,0.5,62.6,,
20112012,Accountability,021035,Barren County,Eastern Elementary School,Elementary School,60.8,62,Needs Improvement,,60.8,1.0,61.8,,
20112012,Accountability,021080,Barren County,Hiseville Elementary School,Elementary School,61.2,64,Needs Improvement,Focus School,61.2,1.0,62.2,,
20112012,Accountability,021014,Barren County,North Jackson Elementary,Elementary School,72.4,94,Distinguished,High Performing School,72.4,0.5,72.9,,
20112012,Accountability,021130,Barren County,Park City Elementary School,Elementary School,56.5,45,Needs Improvement,,56.5,1.0,57.5,,
20112012,Accountability,021150,Barren County,Red Cross Elementary School,Elementary School,58.7,55,Needs Improvement,,58.7,1.0,59.7,,
20112012,Accountability,021180,Barren County,Temple Hill Elementary School,Elementary School,70.4,91,Distinguished,High Performing School,70.4,0.5,70.9,,
20112012,Accountability,025040,Bath County,Bath County High School,High School,46.9,16,Needs Improvement,Focus School,46.9,1.0,47.9,,
20112012,Accountability,025020,Bath County,Bath County Middle School,Middle School,52.6,43,Needs Improvement,,52.6,1.0,53.6,,
20112012,Accountability,025014,Bath County,Crossroads Elementary School,Elementary School,54.8,39,Needs Improvement,,54.8,1.0,55.8,,
20112012,Accountability,025030,Bath County,Owingsville Elementary School,Elementary School,60.1,60,Needs Improvement,,60.1,1.0,61.1,,
20112012,Accountability,026010,Beechwood Independent,Beechwood Elementary School,Elementary School,73.9,96,Distinguished,School of Distinction,73.9,0.5,74.4,,
20112012,Accountability,026020,Beechwood Independent,Beechwood High School,Middle School,68.8,96,Distinguished,School of Distinction,68.8,0.5,69.3,,
20112012,Accountability,026020,Beechwood Independent,Beechwood High School,High School,84.5,99,Distinguished,School of Distinction,84.5,0.5,85.0,,
20112012,Accountability,031012,Bell County,Bell Central School Center,Middle School,56.1,57,Needs Improvement,,56.1,1.0,57.1,,
20112012,Accountability,031012,Bell County,Bell Central School Center,Elementary School,64.9,78,Proficient,,64.9,0.5,65.4,,
20112012,Accountability,031040,Bell County,Bell County High School,High School,50.9,29,Needs Improvement,,50.9,1.0,51.9,,
20112012,Accountability,031180,Bell County,Frakes School Center,Middle School,62.6,85,Proficient,,62.6,0.5,63.1,,
20112012,Accountability,031180,Bell County,Frakes School Center,Elementary School,60.4,60,Needs Improvement,,60.4,1.0,61.4,,
20112012,Accountability,031250,Bell County,Lone Jack School Center,Elementary School,49.4,21,Needs Improvement,,49.4,1.0,50.4,,
20112012,Accountability,031250,Bell County,Lone Jack School Center,Middle School,44.2,13,Needs Improvement,,44.2,1.0,45.2,,
20112012,Accountability,031013,Bell County,Page School Center,Elementary School,48.0,17,Needs Improvement,,48.0,1.0,49.0,,
20112012,Accountability,031013,Bell County,Page School Center,Middle School,54.2,49,Needs Improvement,,54.2,1.0,55.2,,
20112012,Accountability,031345,Bell County,Right Fork School Center,Elementary School,46.8,14,Needs Improvement,,46.8,1.0,47.8,,
20112012,Accountability,031345,Bell County,Right Fork School Center,Middle School,61.7,81,Proficient,,61.7,0.5,62.2,,
20112012,Accountability,031390,Bell County,Yellow Creek School Center,Middle School,59.4,72,Proficient,,59.4,0.5,59.9,,
20112012,Accountability,031390,Bell County,Yellow Creek School Center,Elementary School,57.4,49,Needs Improvement,,57.4,1.0,58.4,,
20112012,Accountability,032010,Bellevue Independent,Bellevue High School,Middle School,38.1,6,Needs Improvement,Focus School,38.1,1.0,39.1,,
20112012,Accountability,032010,Bellevue Independent,Bellevue High School,High School,54.7,51,Needs Improvement,,54.7,1.0,55.7,,
20112012,Accountability,032020,Bellevue Independent,Grandview Elementary School,Elementary School,58.7,55,Needs Improvement,,58.7,1.0,59.7,,
20112012,Accountability,034010,Berea Independent,Berea Community Elementary School,Elementary School,53.3,33,Needs Improvement,,53.3,1.0,54.3,,
20112012,Accountability,034020,Berea Independent,Berea Community High School,High School,56.8,62,Needs Improvement,,56.8,1.0,57.8,,
20112012,Accountability,034015,Berea Independent,Berea Community Middle School,Middle School,49.5,31,Needs Improvement,,49.5,1.0,50.5,,
20112012,Accountability,035005,Boone County,A M Yealey Elementary School,Elementary School,61.7,66,Needs Improvement,,61.7,1.0,62.7,,
20112012,Accountability,035030,Boone County,Boone County High School,High School,57.6,67,Needs Improvement,,57.6,1.0,58.6,,
20112012,Accountability,035040,Boone County,Burlington Elementary School,Elementary School,63.3,73,Proficient,,63.3,0.5,63.8,,
20112012,Accountability,035010,Boone County,Camp Ernst Middle School,Middle School,63.5,87,Proficient,Focus School,63.5,0.5,64.0,,
20112012,Accountability,035041,Boone County,Charles H. Kelly Elementary School,Elementary School,61.9,67,Needs Improvement,,61.9,1.0,62.9,,
20112012,Accountability,035055,Boone County,Chester Goodridge Elementary School,Elementary School,61.5,65,Needs Improvement,,61.5,1.0,62.5,,
20112012,Accountability,035045,Boone County,Conner High School,High School,64.0,88,Proficient,Focus School,64.0,0.5,64.5,,
20112012,Accountability,035043,Boone County,Conner Middle School,Middle School,66.1,91,Distinguished,High Performing School,66.1,0.5,66.6,,
20112012,Accountability,035006,Boone County,Erpenbeck Elementary School,Elementary School,69.7,89,Proficient,,69.7,0.5,70.2,,
20112012,Accountability,035050,Boone County,Florence Elementary School,Elementary School,55.0,39,Needs Improvement,,55.0,1.0,56.0,,
20112012,Accountability,035075,Boone County,Gray Middle School,Middle School,66.1,91,Distinguished,High Performing School,66.1,0.5,66.6,,
20112012,Accountability,035065,Boone County,Hillard Collins Elementary School,Elementary School,54.1,36,Needs Improvement,,54.1,1.0,55.1,,
20112012,Accountability,035071,Boone County,Larry A. Ryle High School,High School,67.6,94,Distinguished,High Performing School,67.6,0.5,68.1,,
20112012,Accountability,035017,Boone County,Longbranch Elementary School,Elementary School,63.0,72,Proficient,,63.0,0.5,63.5,,
20112012,Accountability,035080,Boone County,New Haven Elementary School,Elementary School,61.8,66,Needs Improvement,,61.8,1.0,62.8,,
20112012,Accountability,035008,Boone County,North Pointe Elementary School,Elementary School,74.9,98,Distinguished,School of Distinction,74.9,0.5,75.4,,
20112012,Accountability,035081,Boone County,Ockerman Elementary School,Elementary School,60.8,62,Needs Improvement,,60.8,1.0,61.8,,
20112012,Accountability,035085,Boone County,Ockerman Middle School,Middle School,62.4,84,Proficient,,62.4,0.5,62.9,,
20112012,Accountability,035015,Boone County,Randall K. Cooper High School,High School,64.6,90,Distinguished,Focus School,64.6,0.5,65.1,,
20112012,Accountability,035020,Boone County,Rector A. Jones Middle School,Middle School,47.0,21,Needs Improvement,Focus School,47.0,1.0,48.0,,
20112012,Accountability,035011,Boone County,Shirley Mann Elementary School,Elementary School,72.9,95,Distinguished,School of Distinction,72.9,0.5,73.4,,
20112012,Accountability,035083,Boone County,Stephens Elementary School,Elementary School,61.2,64,Needs Improvement,,61.2,1.0,62.2,,
20112012,Accountability,041010,Bourbon County,Bourbon Central Elementary School,Elementary School,63.2,73,Proficient,,63.2,0.5,63.7,,
20112012,Accountability,041110,Bourbon County,Bourbon County High School,High School,57.1,64,Needs Improvement,Focus School,57.1,1.0,58.1,,
20112012,Accountability,041120,Bourbon County,Bourbon County Middle School,Middle School,57.2,64,Needs Improvement,Focus School,57.2,1.0,58.2,,
20112012,Accountability,041030,Bourbon County,Cane Ridge Elementary School,Elementary School,53.3,33,Needs Improvement,,53.3,1.0,54.3,,
20112012,Accountability,041090,Bourbon County,North Middletown Elementary School,Elementary School,62.6,70,Proficient,,62.6,0.5,63.1,,
20112012,Accountability,042070,Bowling Green Independent,Bowling Green High School,High School,59.1,74,Proficient,,59.1,0.5,59.6,,
20112012,Accountability,042065,Bowling Green Independent,Bowling Green Junior High,Middle School,60.0,74,Proficient,,60.0,0.5,60.5,,
20112012,Accountability,042010,Bowling Green Independent,Dishman Mcginnis Elementary School,Elementary School,52.4,31,Needs Improvement,,52.4,1.0,53.4,,
20112012,Accountability,042057,Bowling Green Independent,Parker-Bennett-Curry School,Elementary School,45.5,10,Needs Improvement,,45.5,1.0,46.5,,
20112012,Accountability,042060,Bowling Green Independent,Potter Gray Elementary,Elementary School,71.0,92,Distinguished,High Performing School,71.0,0.5,71.5,,
20112012,Accountability,042080,Bowling Green Independent,T C Cherry Elementary School,Elementary School,57.1,48,Needs Improvement,,57.1,1.0,58.1,,
20112012,Accountability,042090,Bowling Green Independent,W R McNeill Elementary School,Elementary School,71.0,92,Distinguished,High Performing School,71.0,0.5,71.5,,
20112012,Accountability,045010,Boyd County,Boyd County High School,High School,53.2,42,Needs Improvement,Focus School,53.2,1.0,54.2,,
20112012,Accountability,045035,Boyd County,Boyd County Middle School,Middle School,57.2,64,Needs Improvement,,57.2,1.0,58.2,,
20112012,Accountability,045020,Boyd County,Cannonsburg Elementary School,Elementary School,49.6,21,Needs Improvement,,49.6,1.0,50.6,,
20112012,Accountability,045095,Boyd County,Catlettsburg Elementary School,Elementary School,44.2,8,Needs Improvement,,44.2,1.0,45.2,,
20112012,Accountability,045097,Boyd County,Ponderosa Elementary School,Elementary School,58.5,54,Needs Improvement,,58.5,1.0,59.5,,
20112012,Accountability,045080,Boyd County,Summit Elementary School,Elementary School,64.9,78,Proficient,,64.9,0.5,65.4,,
20112012,Accountability,051005,Boyle County,Boyle County High School,High School,62.1,84,Proficient,,62.1,0.5,62.6,,
20112012,Accountability,051003,Boyle County,Boyle County Middle School,Middle School,64.6,88,Proficient,,64.6,0.5,65.1,,
20112012,Accountability,051040,Boyle County,Junction City Elementary School,Elementary School,69.5,89,Proficient,,69.5,0.5,70.0,,
20112012,Accountability,051080,Boyle County,Perryville Elementary School,Elementary School,71.5,93,Distinguished,High Performing School,71.5,0.5,72.0,,
20112012,Accountability,051050,Boyle County,Woodlawn Elementary School,Elementary School,67.3,84,Proficient,,67.3,0.5,67.8,,
20112012,Accountability,055010,Bracken County,Bracken County High School,High School,57.8,69,Needs Improvement,,57.8,1.0,58.8,,
