SCH_YEAR,CATEGORY,SCH_CD,DIST_NAME,SCH_NAME,CONTENT_LEVEL,OVERALL_SCORE,KY_RANK,CLASSIFICATION,REWARD_RECOGNITION,BASE_YR_SCORE,AMO_GOAL,AMO_MET,PARTICIPATION_NEXT_YR,GRADUATION_RATE_GOAL
20122013,Accountability,001016,Adair County,Adair County Elementary School,Elementary School,62.9,71,Proficient,,62.9,63.4,No,Yes,N/A
20122013,Accountability,001010,Adair County,Adair County High School,High School,54.4,48,Needs Improvement,,55.4,56.4,No,Yes,No
20122013,Accountability,001014,Adair County,Adair County Middle School,Middle School,53.0,46,Needs Improvement/Progressing,Focus School,48.3,49.3,Yes,Yes,N/A
20122013,Accountability,001013,Adair County,John Adair Intermediate School,Elementary School,61.5,65,Needs Improvement,,69.0,69.5,No,Yes,N/A
20122013,Accountability,005060,Allen County,Allen County Intermediate Center,Elementary School,58.0,52,Needs Improvement/Progressing,,56.5,57.5,Yes,Yes,N/A
20122013,Accountability,005010,Allen County,Allen County Primary Center,Elementary School,59.0,56,Needs Improvement/Progressing,,49.7,50.7,Yes,Yes,N/A
20122013,Accountability,005020,Allen County,Allen County-Scottsville High School,High School,61.3,81,Proficient/Progressing,Focus School/High Progress School,50.6,51.6,Yes,Yes,Yes
20122013,Accountability,005015,Allen County,James E Bazzell Middle School,Middle School,57.5,64,Needs Improvement,,56.7,57.7,No,Yes,N/A
20122013,Accountability,006010,Anchorage Independent,Anchorage Independent Public School,Elementary School,80.8,99,Distinguished/Progressing,School of Distinction/High Progress School,71.1,71.6,Yes,Yes,N/A
20122013,Accountability,006010,Anchorage Independent,Anchorage Independent Public School,Middle School,79.1,99,Distinguished,,91.6,92.1,No,Yes,N/A
20122013,Accountability,011020,Anderson County,Anderson County High School,High School,60.9,79,Proficient,Focus School,59.9,60.4,Yes,Yes,No
20122013,Accountability,011025,Anderson County,Anderson County Middle School,Middle School,53.2,46,Needs Improvement,,52.7,53.7,No,Yes,N/A
20122013,Accountability,011110,Anderson County,Emma B. Ward Elementary School,Elementary School,58.8,55,Needs Improvement,,62.1,63.1,No,Yes,N/A
20122013,Accountability,011022,Anderson County,Robert B. Turner Elementary School,Elementary School,65.3,80,Proficient,,67.3,67.8,No,Yes,N/A
20122013,Accountability,011050,Anderson County,Saffell Street Elementary School,Elementary School,62.5,70,Proficient/Progressing,,53.5,54.5,Yes,Yes,N/A
20122013,Accountability,012130,Ashland Independent,Charles Russell Elementary School,Elementary School,66.9,84,Proficient/Progressing,,65.1,65.6,Yes,Yes,N/A
20122013,Accountability,012070,Ashland Independent,Crabbe Elementary School,Elementary School,49.9,22,Needs Improvement/Progressing,Focus School,48.2,49.2,Yes,Yes,N/A
20122013,Accountability,012050,Ashland Independent,George M. Verity Middle School,Middle School,59.3,71,Proficient/Progressing,Focus School,56.4,57.4,Yes,Yes,N/A
20122013,Accountability,012080,Ashland Independent,Hager Elementary School,Elementary School,69.3,88,Proficient,,76.3,76.8,No,Yes,N/A
20122013,Accountability,012100,Ashland Independent,Oakview Elementary School,Elementary School,63.4,74,Proficient,,63.0,63.5,No,Yes,N/A
20122013,Accountability,012010,Ashland Independent,Paul G. Blazer High School,High School,63.0,86,Proficient/Progressing,,58.9,59.4,Yes,Yes,Yes
20122013,Accountability,012110,Ashland Independent,Poage Elementary School,Elementary School,61.9,67,Needs Improvement,,63.7,64.2,No,Yes,N/A
