SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,SCH_TYPE,STATE_SCH_ID,NCESID,CATEGORY,CONTENT_LEVEL,OVERALL_SCORE,KY_RANK,CLASSIFICATION,REWARD_RECOGNITION,BASE_YR_SCORE,AMO_GOAL,AMO_MET,TREND_DISPLAY,PARTICIPATION_NEXT_YR,GRADUATION_RATE_GOAL,KY_RANK_PY,CLASSIFICATION_PY,REWARD_RECOGNITION_PY,COOP,COOP_CODE
20132014,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,A1,001001016,210003002021,Accountability,Elementary School,62.8,40,Needs Improvement,,67.3,68.3,No,YES,Yes,N/A,60,N/A,N/A,GRREC,902
20132014,001,ADAIR,001,Adair County,010,Adair County High School,001010,A1,001001010,210003000001,Accountability,High School,69.4,65,Needs Improvement/Progressing,High Progress School,56.6,57.6,Yes,YES,Yes,Yes,10,N/A,N/A,GRREC,902
20132014,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,A1,001001014,210003001919,Accountability,Middle School,61.9,48,Needs Improvement/Progressing,,56.6,57.6,Yes,YES,Yes,N/A,25,N/A,N/A,GRREC,902
20132014,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,A1,002005060,210007000013,Accountability,Elementary School,62.9,40,Needs Improvement/Progressing,,56.1,57.1,Yes,YES,Yes,N/A,19,N/A,N/A,GRREC,902
20132014,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,A1,002005010,210007000008,Accountability,Elementary School,70.4,73,Proficient/Progressing,,61.0,62.0,Yes,YES,Yes,N/A,34,N/A,N/A,GRREC,902
20132014,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,A1,002005020,210007000010,Accountability,High School,71.6,74,Proficient,,67.3,68.3,Yes,YES,Yes,No,54,N/A,N/A,GRREC,902
20132014,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,A1,002005015,210007000009,Accountability,Middle School,71.4,89,Proficient/Progressing,,66.8,67.3,Yes,YES,Yes,N/A,70,N/A,N/A,GRREC,902
20132014,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,A1,056006010,210009000014,Accountability,Middle School,87.4,99,Distinguished/Progressing,School of Distinction,83.9,84.4,Yes,YES,Yes,N/A,99,N/A,N/A,OVEC,906
20132014,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,A1,056006010,210009000014,Accountability,Elementary School,84.7,99,Distinguished,,85.2,85.7,No,YES,Yes,N/A,99,N/A,N/A,OVEC,906
20132014,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,A1,003011020,210012000016,Accountability,High School,69.0,62,Needs Improvement,Focus School,69.9,70.9,No,YES,Yes,No,68,N/A,N/A,CKEC,901
20132014,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,A1,003011025,210012000017,Accountability,Middle School,65.8,64,Needs Improvement/Progressing,,64.0,65.0,Yes,YES,Yes,N/A,58,N/A,N/A,CKEC,901
20132014,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,A1,003011110,210012000021,Accountability,Elementary School,74.6,89,Proficient/Progressing,,68.3,69.3,Yes,YES,Yes,N/A,64,N/A,N/A,CKEC,901
20132014,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,A1,003011022,210012001955,Accountability,Elementary School,81.4,99,Distinguished/Progressing,School of Distinction,73.3,73.8,Yes,YES,Yes,N/A,85,N/A,N/A,CKEC,901
20132014,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,A1,003011050,210012000018,Accountability,Elementary School,70.0,72,Proficient,,71.1,71.6,No,YES,Yes,N/A,76,N/A,N/A,CKEC,901
20132014,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,A1,010012050,210015000023,Accountability,Middle School,68.5,77,Proficient/Progressing,,67.9,68.4,Yes,YES,Yes,N/A,73,N/A,N/A,KEDC,903
20132014,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,A1,010012130,210015000031,Accountability,Elementary School,69.4,70,Proficient/Progressing,,68.4,69.4,Yes,YES,Yes,N/A,65,N/A,N/A,KEDC,903
20132014,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,A1,010012070,210015000025,Accountability,Elementary School,63.8,44,Needs Improvement/Progressing,,57.4,58.4,Yes,YES,Yes,N/A,22,N/A,N/A,KEDC,903
20132014,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,A1,010012080,210015000026,Accountability,Elementary School,76.4,93,Distinguished/Progressing,High Performing School,75.8,76.3,Yes,YES,Yes,N/A,91,N/A,N/A,KEDC,903
20132014,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,A1,010012100,210015000028,Accountability,Elementary School,64.5,48,Needs Improvement,,65.9,66.9,No,YES,Yes,N/A,54,N/A,N/A,KEDC,903
20132014,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,A1,010012010,210015000022,Accountability,High School,73.9,85,Proficient,Focus School,68.2,69.2,Yes,YES,Yes,No,58,N/A,N/A,KEDC,903
20132014,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,A1,010012110,210015000029,Accountability,Elementary School,70.7,75,Proficient/Progressing,,64.8,65.8,Yes,YES,Yes,N/A,50,N/A,N/A,KEDC,903
20132014,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,A1,012013011,210018001968,Accountability,Middle School,61.8,48,Needs Improvement/Progressing,,56.0,57.0,Yes,YES,Yes,N/A,23,N/A,N/A,KEDC,903
20132014,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,A1,012013011,210018001968,Accountability,Elementary School,60.4,32,Needs Improvement,,65.3,66.3,No,YES,Yes,N/A,52,N/A,N/A,KEDC,903
20132014,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,A1,012013011,210018001968,Accountability,High School,69.7,66,Needs Improvement,,61.8,62.8,Yes,YES,Yes,No,25,N/A,N/A,KEDC,903
