SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,SCH_TYPE,STATE_SCH_ID,NCESID,CATEGORY,CONTENT_LEVEL,OVERALL_SCORE,KY_RANK,CLASSIFICATION,REWARD_RECOGNITION,BASE_YR_SCORE,AMO_GOAL,AMO_MET,TREND_DISPLAY,PARTICIPATION_NEXT_YR,GRADUATION_RATE_GOAL,KY_RANK_PY,CLASSIFICATION_PY,REWARD_RECOGNITION_PY,COOP,COOP_CODE
20142015,1,ADAIR,1,Adair County,16,Adair County Elementary School,1016,A1,1001016,210003002021,Accountability,Elementary School,60.4,40,Needs Improvement,,60.5,61.5,No,YES,Yes,N/A,40,,,GRREC,902
20142015,1,ADAIR,1,Adair County,10,Adair County High School,1010,A1,1001010,210003000001,Accountability,High School,71.2,73,Proficient/Progressing,,69.4,70.4,Yes,YES,Yes,Yes,65,,,GRREC,902
20142015,1,ADAIR,1,Adair County,14,Adair County Middle School,1014,A1,1001014,210003001919,Accountability,Middle School,63.3,58,Needs Improvement/Progressing,,60.2,61.2,Yes,YES,Yes,N/A,46,,,GRREC,902
20142015,1,ADAIR,1,Adair County,,---District Total---,1,,,,Accountability,District Overall,65.0,60,Needs Improvement/Progressing,High Progress District,63.2,64.2,Yes,YES,Yes,Yes,49,,,GRREC,902
20142015,2,ALLEN,5,Allen County,60,Allen County Intermediate Center,5060,A1,2005060,210007000013,Accountability,Elementary School,69.9,81,Proficient/Progressing,High Progress School,60.3,61.3,Yes,YES,Yes,N/A,39,,,GRREC,902
20142015,2,ALLEN,5,Allen County,10,Allen County Primary Center,5010,A1,2005010,210007000008,Accountability,Elementary School,68.4,75,Proficient,,71.6,72.1,No,YES,Yes,N/A,85,,,GRREC,902
20142015,2,ALLEN,5,Allen County,20,Allen County-Scottsville High School,5020,A1,2005020,210007000010,Accountability,High School,67.5,56,Needs Improvement,Focus School,71.6,72.1,No,YES,Yes,No,74,,,GRREC,902
20142015,2,ALLEN,5,Allen County,15,James E Bazzell Middle School,5015,A1,2005015,210007000009,Accountability,Middle School,68.7,84,Proficient,,69.8,70.3,No,YES,Yes,N/A,88,,,GRREC,902
20142015,2,ALLEN,5,Allen County,,---District Total---,5,,,,Accountability,District Overall,68.7,87,Proficient,,66.7,67.2,Yes,YES,Yes,No,75,,,GRREC,902
20142015,56,JEFFERSON,6,Anchorage Independent,10,Anchorage Independent Public School,6010,A1,56006010,210009000014,Accountability,Middle School,78.6,98,Distinguished,,87.3,87.8,No,YES,Yes,N/A,99,,,OVEC,906
20142015,56,JEFFERSON,6,Anchorage Independent,10,Anchorage Independent Public School,6010,A1,56006010,210009000014,Accountability,Elementary School,79.4,98,Distinguished,,84.6,85.1,No,YES,Yes,N/A,99,,,OVEC,906
20142015,56,JEFFERSON,6,Anchorage Independent,,---District Total---,6,,,,Accountability,District Overall,79.0,99,Distinguished,,86.0,86.5,No,YES,Yes,N/A,99,,,OVEC,906
20142015,3,ANDERSON,11,Anderson County,20,Anderson County High School,11020,A1,3011020,210012000016,Accountability,High School,73.8,84,Proficient,Focus School,69.0,70.0,Yes,YES,No,No,62,,,CKEC,901
20142015,3,ANDERSON,11,Anderson County,25,Anderson County Middle School,11025,A1,3011025,210012000017,Accountability,Middle School,61.0,49,Needs Improvement,Focus School,65.9,66.4,No,YES,Yes,N/A,70,,,CKEC,901
20142015,3,ANDERSON,11,Anderson County,110,Emma B. Ward Elementary School,11110,A1,3011110,210012000021,Accountability,Elementary School,74.7,92,Distinguished/Progressing,High Performing School,73.7,74.2,Yes,YES,Yes,N/A,91,,,CKEC,901
20142015,3,ANDERSON,11,Anderson County,22,Robert B. Turner Elementary School,11022,A1,3011022,210012001955,Accountability,Elementary School,78.0,98,Distinguished,,80.1,80.6,No,YES,Yes,N/A,99,,,CKEC,901
20142015,3,ANDERSON,11,Anderson County,50,Saffell Street Elementary School,11050,A1,3011050,210012000018,Accountability,Elementary School,69.4,79,Proficient/Progressing,,67.7,68.2,Yes,YES,Yes,N/A,72,,,CKEC,901
20142015,3,ANDERSON,11,Anderson County,,---District Total---,11,,,,Accountability,District Overall,69.6,89,Proficient,,69.6,70.1,No,YES,No,No,89,,,CKEC,901
20142015,10,BOYD,12,Ashland Independent,50,Ashland Middle School,12050,A1,10012050,210015000023,Accountability,Middle School,66.3,72,Proficient,,67.6,68.1,No,YES,Yes,N/A,78,,,KEDC,903
20142015,10,BOYD,12,Ashland Independent,130,Charles Russell Elementary School,12130,A1,10012130,210015000031,Accountability,Elementary School,68.6,75,Proficient,,68.2,68.7,No,YES,Yes,N/A,74,,,KEDC,903
20142015,10,BOYD,12,Ashland Independent,70,Crabbe Elementary School,12070,A1,10012070,210015000025,Accountability,Elementary School,61.2,43,Needs Improvement,,60.9,61.9,No,YES,Yes,N/A,42,,,KEDC,903
20142015,10,BOYD,12,Ashland Independent,80,Hager Elementary School,12080,A1,10012080,210015000026,Accountability,Elementary School,75.0,93,Distinguished/Progressing,High Performing School,74.2,74.7,Yes,YES,Yes,N/A,91,,,KEDC,903
20142015,10,BOYD,12,Ashland Independent,100,Oakview Elementary School,12100,A1,10012100,210015000028,Accountability,Elementary School,67.9,73,Proficient/Progressing,,64.5,65.5,Yes,YES,Yes,N/A,58,,,KEDC,903
20142015,10,BOYD,12,Ashland Independent,10,Paul G. Blazer High School,12010,A1,10012010,210015000022,Accountability,High School,76.1,93,Distinguished,Focus School,73.9,74.4,Yes,YES,Yes,No,85,,,KEDC,903
20142015,10,BOYD,12,Ashland Independent,110,Poage Elementary School,12110,A1,10012110,210015000029,Accountability,Elementary School,64.7,58,Needs Improvement,,68.0,68.5,No,YES,Yes,N/A,73,,,KEDC,903
20142015,10,BOYD,12,Ashland Independent,,---District Total---,12,,,,Accountability,District Overall,70.2,89,Proficient,,69.4,69.9,Yes,YES,Yes,No,89,,,KEDC,903
20142015,12,BRACKEN,13,Augusta Independent,11,Augusta Independent School,13011,A1,12013011,210018001968,Accountability,Middle School,63.2,58,Needs Improvement/Progressing,,61.9,62.9,Yes,YES,Yes,N/A,53,,,KEDC,903
20142015,12,BRACKEN,13,Augusta Independent,11,Augusta Independent School,13011,A1,12013011,210018001968,Accountability,Elementary School,65.1,60,Needs Improvement/Progressing,,60.4,61.4,Yes,YES,Yes,N/A,40,,,KEDC,903
20142015,12,BRACKEN,13,Augusta Independent,11,Augusta Independent School,13011,A1,12013011,210018001968,Accountability,High School,76.3,94,Distinguished,,69.5,70.5,Yes,YES,Yes,No,66,,,KEDC,903
20142015,12,BRACKEN,13,Augusta Independent,,---District Total---,13,,,,Accountability,District Overall,68.2,84,Proficient,,63.9,64.9,Yes,YES,Yes,No,55,,,KEDC,903
20142015,4,BALLARD,15,Ballard County,50,Ballard County Elementary School,15050,A1,4015050,210021000356,Accountability,Elementary School,63.3,53,Needs Improvement,,67.3,67.8,No,YES,Yes,N/A,70,,,WKEC,908
20142015,4,BALLARD,15,Ballard County,5,Ballard County Middle School,15005,A1,4015005,210021000035,Accountability,Middle School,71.1,92,Distinguished,,71.0,71.5,No,YES,Yes,N/A,91,,,WKEC,908
20142015,4,BALLARD,15,Ballard County,10,Ballard Memorial High School,15010,A1,4015010,210021000036,Accountability,High School,78.1,95,Distinguished/Progressing,School of Distinction,77.5,78.0,Yes,YES,Yes,Yes,94,,,WKEC,908
20142015,4,BALLARD,15,Ballard County,,---District Total---,15,,,,Accountability,District Overall,70.8,90,Distinguished,,71.9,72.4,No,YES,Yes,Yes,95,,,WKEC,908
20142015,61,KNOX,16,Barbourville Independent,11,Barbourville City School,16011,A1,61016011,210024001969,Accountability,Middle School,67.4,78,Proficient,,71.6,72.1,No,YES,Yes,N/A,92,,,SESC,907
20142015,61,KNOX,16,Barbourville Independent,11,Barbourville City School,16011,A1,61016011,210024001969,Accountability,High School,75.4,90,Distinguished,,73.3,73.8,Yes,YES,Yes,No,83,,,SESC,907
20142015,61,KNOX,16,Barbourville Independent,11,Barbourville City School,16011,A1,61016011,210024001969,Accountability,Elementary School,57.7,29,Needs Improvement,,61.3,62.3,No,YES,Yes,N/A,44,,,SESC,907
20142015,61,KNOX,16,Barbourville Independent,,---District Total---,16,,,,Accountability,District Overall,66.8,76,Proficient,,68.7,69.2,No,YES,Yes,No,87,,,SESC,907
20142015,90,NELSON,17,Bardstown Independent,10,Bardstown Elementary School,17010,A1,90017010,210027000044,Accountability,Elementary School,66.9,68,Needs Improvement/Progressing,High Progress School,61.6,62.6,Yes,YES,Yes,N/A,45,,,CKEC,901
20142015,90,NELSON,17,Bardstown Independent,20,Bardstown High School,17020,A1,90017020,210027000045,Accountability,High School,70.4,71,Proficient/Progressing,Focus School,69.2,70.2,Yes,YES,Yes,Yes,63,,,CKEC,901
20142015,90,NELSON,17,Bardstown Independent,30,Bardstown Middle School,17030,A1,90017030,210027000046,Accountability,Middle School,60.8,48,Needs Improvement,Focus School,61.7,62.7,No,YES,Yes,N/A,52,,,CKEC,901
20142015,90,NELSON,17,Bardstown Independent,,---District Total---,17,,,,Accountability,District Overall,66.1,68,Needs Improvement/Progressing,,65.0,66.0,Yes,YES,Yes,Yes,60,,,CKEC,901
20142015,5,BARREN,21,Barren County,10,Austin Tracy Elementary School,21010,A1,5021010,210030000047,Accountability,Elementary School,74.9,93,Distinguished/Progressing,High Performing School,71.2,71.7,Yes,YES,Yes,N/A,84,,,GRREC,902
20142015,5,BARREN,21,Barren County,27,Barren County High School,21027,A1,5021027,210030000048,Accountability,High School,74.5,87,Proficient,,71.0,71.5,Yes,YES,Yes,No,72,,,GRREC,902
20142015,5,BARREN,21,Barren County,50,Barren County Middle School,21050,A1,5021050,210030000607,Accountability,Middle School,63.6,59,Needs Improvement,Focus School,65.9,66.4,No,YES,Yes,N/A,70,,,GRREC,902
20142015,5,BARREN,21,Barren County,35,Eastern Elementary School,21035,A1,5021035,210030000049,Accountability,Elementary School,73.8,91,Distinguished/Progressing,High Performing School,67.1,68.1,Yes,YES,Yes,N/A,69,,,GRREC,902
20142015,5,BARREN,21,Barren County,80,Hiseville Elementary School,21080,A1,5021080,210030000050,Accountability,Elementary School,76.9,96,Distinguished,,77.1,77.6,No,YES,Yes,N/A,96,,,GRREC,902
20142015,5,BARREN,21,Barren County,14,North Jackson Elementary,21014,A1,5021014,210030002232,Accountability,Elementary School,74.8,93,Distinguished,,76.1,76.6,No,YES,Yes,N/A,95,,,GRREC,902
