SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,LEVEL,STARS,GAP_REDUCTION,FED_CLASS,PROFICIENCY_RATE,PROFICIENCY_RATING,SEPERATE_RATE,SEPERATE_RATING,GROWTH_RATE,GROWTH_RATING,ELP_GROWTH,TRANSITION_RATE,TRANSITION_RATING,TRANSITION_ELP,GRAD_RATE,GRAD_RATING,OVERALL_SCORE,REASON,GAP_DEMO,FEED_SCHOOL,PROF_WGHT,SEP_WGHT,GROWTH_WGHT,TRANS_WGHT,GRAD_WGHT
20182019,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,GRREC,902,ES,3,N,,71.5,Medium,67.1,Medium,68.5,High,,.,,,.,,69.2,,,,26.1,18.2,25.0,.,.
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,HS,3,N,,58.0,Medium,61.1,Medium,.,,,87.9,High,,97.3,Very High,70.3,,,,27.2,9.5,.,27.5,6.1
20182019,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,MS,3,Y,,77.9,High,65.2,Medium,59.7,High,,.,,,.,,67.8,,Disability:Non-Disability,,28.4,17.7,21.8,.,.
20182019,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,GRREC,902,ES,3,N,,71.5,Medium,67.1,Medium,68.5,High,,.,,,.,,69.2,,,Adair County Elementary School,26.1,18.2,25.0,.,.
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,MS,3,Y,,77.9,High,65.2,Medium,59.7,High,,.,,,.,,67.8,,Disability:Non-Disability,,28.4,17.7,21.8,.,.
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ES,3,N,,71.5,Medium,67.1,Medium,68.5,High,,.,,,.,,69.2,,,,26.1,18.2,25.0,.,.
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,HS,3,N,,58.0,Medium,61.1,Medium,.,,,87.9,High,,97.3,Very High,70.3,,,,27.2,9.5,.,27.5,6.1
20182019,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,GRREC,902,ES,3,N,,74.7,Medium,59.3,Low,56.2,Medium,,.,,,.,,63.8,,,,27.2,16.1,20.5,.,.
20182019,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,GRREC,902,ES,3,N,,65.1,Low,.,,.,,,.,,,.,,65.1,,,,65.1,.,.,.,.
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,HS,3,N,,55.6,Medium,59.2,Low,.,,,84.2,High,,95.1,High,67.6,,,,26.1,9.3,.,26.3,5.9
20182019,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,GRREC,902,MS,4,N,,77.0,High,66.4,Medium,58.1,High,,.,,,.,,67.2,,,,28.1,18.0,21.2,.,.
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,HS,3,N,,55.6,Medium,59.2,Low,.,,,84.2,High,,95.1,High,67.6,,,,26.1,9.3,.,26.3,5.9
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,MS,4,N,,78.1,High,66.4,Medium,58.3,High,,.,,,.,,67.7,,,,28.5,18.0,21.3,.,.
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ES,3,N,,69.4,Medium,59.3,Low,55.0,Medium,,.,,,.,,61.4,,,,25.3,16.1,20.1,.,.
20182019,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,OVEC,906,ES,5,N,,105.2,Very High,95.7,Very High,58.5,Medium,,.,,,.,,85.6,,,,38.4,25.9,21.3,.,.
20182019,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,OVEC,906,MS,5,N,,102.1,Very High,91.0,Very High,46.6,Low,,.,,,.,,78.9,,,,37.2,24.6,17.0,.,.
20182019,056,JEFFERSON,006,Anchorage Independent,,---District Total---,006,,,OVEC,906,ES,5,N,,105.2,Very High,95.7,Very High,58.5,Medium,,.,,,.,,85.6,,,,38.4,25.9,21.3,.,.
20182019,056,JEFFERSON,006,Anchorage Independent,,---District Total---,006,,,OVEC,906,MS,5,N,,102.1,Very High,91.0,Very High,46.6,Low,,.,,,.,,78.9,,,,37.2,24.6,17.0,.,.
20182019,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,HS,3,N,,62.0,Medium,71.5,High,.,,,77.1,Medium,,97.4,Very High,70.4,,,,29.1,11.2,.,24.1,6.1
20182019,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,CKEC,901,MS,3,N,,72.9,Medium,61.8,Medium,51.5,Medium,,.,,,.,,62.1,,,,26.6,16.7,18.8,.,.
20182019,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,CKEC,901,ES,3,N,,67.8,Medium,69.4,Medium,61.2,High,,.,,,.,,65.8,,,,24.7,18.8,22.3,.,.
20182019,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,CKEC,901,ES,3,N,,74.1,Medium,80.5,Very High,59.1,Medium,,.,,,.,,70.4,,,,27.0,21.8,21.5,.,.
20182019,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,CKEC,901,ES,3,N,,59.9,Low,64.9,Medium,57.3,Medium,,.,,,.,,60.3,,,,21.8,17.6,20.9,.,.
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,HS,3,N,,59.3,Medium,69.8,Medium,.,,,74.9,Medium,,94.3,Medium,68.0,,,,27.8,10.9,.,23.4,5.9
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,MS,3,N,,72.9,Medium,61.6,Medium,51.5,Medium,,.,,,.,,62.0,,,,26.6,16.7,18.8,.,.
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ES,3,N,,67.3,Medium,71.9,Medium,59.0,Medium,,.,,,.,,65.5,,,,24.5,19.5,21.5,.,.
20182019,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,KEDC,903,MS,3,N,,73.1,Medium,62.9,Medium,53.4,Medium,,.,,,.,,63.2,,Disability:Non-Disability,,26.7,17.0,19.5,.,.
20182019,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,KEDC,903,ES,4,N,,82.9,High,64.7,Medium,66.9,High,,.,,,.,,72.1,,,,30.2,17.5,24.4,.,.
20182019,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,KEDC,903,ES,2,N,,53.3,Low,57.2,Low,61.2,High,,.,,,.,,57.2,,,,19.4,15.5,22.3,.,.
20182019,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,KEDC,903,ES,4,N,,87.0,High,73.6,High,64.5,High,,.,,,.,,75.2,,,,31.7,19.9,23.5,.,.
