SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,LEVEL,FEDERAL CLASSIFICATION,READING_MATH INDICATOR RATE,READING_MATH INDICATOR RATING,SCIENCE_SOCIAL STUDIES_COMBINED WRITING INDICATOR RATE,SCIENCE_SOCIAL STUDIES_COMBINED WRITING INDICATOR RATING,GRADUATION RATE INDICATOR,GRADUATION RATING INDICATOR,REASON FOR FEDERAL CLASSIFICATION,FEEDER SCHOOL,OVERALL INDICATOR RATE,OVERALL INDICATOR RATING,ENGLISH LEARNERS PROGRESS INDICATOR RATE,ENGLISH LEARNERS PROGRESS INDICATOR RATING,QUALITY OF SCHOOL CLIMATE AND SAFETY INDICATOR RATE,QUALITY OF SCHOOL CLIMATE AND SAFETY INDICATOR RATING,POSTSECONDARY INDICATOR RATE,POSTSECONDARY INDICATOR RATING
20212022,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",ES,"",53.5,2,53.2,3,"","","","",54.3,3,"","",74.8,3,"",""
20212022,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",HS,"",54.3,3,45.9,2,96.1,4,"","",60.7,3,"","",63.8,3,78.8,3
20212022,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",MS,"",60.7,3,48.9,3,"","","","",55.3,3,"","",64.0,3,"",""
20212022,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,HS,"",54.3,3,45.9,2,96.1,4,"","",60.7,3,"","",63.8,3,78.8,3
20212022,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,MS,TSI,60.7,3,48.9,3,"","",Disability,"",55.3,3,"","",64.0,3,"",""
20212022,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,GRREC,902,A1,ES,TSI,53.5,2,53.2,3,"","",Disability,"",54.3,3,"","",74.8,3,"",""
20212022,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,GRREC,902,A1,ES,TSI,53.5,2,53.2,3,"","",Disability,Adair County Elementary School,54.3,3,"","",74.8,3,"",""
20212022,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",ES,"",49.7,2,46.7,2,"","","","",49.5,2,"","",75.6,3,"",""
20212022,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",HS,"",60.6,3,43.9,2,93.7,3,"","",66.5,3,"","",59.0,3,95.5,5
20212022,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",MS,"",62.2,3,52.8,3,"","","","",58.1,3,"","",70.8,4,"",""
20212022,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,GRREC,902,A1,ES,"",52.9,2,"","","","","","",54.6,3,"","",76.2,3,"",""
20212022,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,GRREC,902,A1,MS,"",63.2,3,52.8,3,"","","","",58.5,3,"","",69.4,4,"",""
20212022,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,A1,HS,"",60.6,3,43.8,2,93.7,3,"","",66.4,3,"","",59.0,3,95.5,5
