SCH_YEAR,SCH_CD,DIST_NAME,SCH_NAME,MEMBERSHIP_TOTAL,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_OTHER_CNT,MEMBERSHIP_OTHER_PCT,MEMBERSHIP_FREE_LUNCH_CNT,MEMBERSHIP_REDUCED_LUNCH_CNT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_FAILURE_CNT,TRANSITION_FAILURE_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FULLTIME_TCH_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS
20112012,1016,Adair County,Adair County Elementary School,597,7261,573.25,321,53.8%,276,46.2%,556,93.1%,4,0.7%,23,3.9%,2,0.3%,0,0.0%,0,0.0%,12,2.0%,366,98,95.2%,0.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,39.00,3,0.0%,18.8,0.0%,30.0%,70.0%,0.0%,0.0%,100.0%,0.0%,3:1,53.9%,179,47,4,496
20112012,1010,Adair County,Adair County High School,698,6457,669.58,339,48.6%,359,51.4%,649,93.0%,20,2.9%,19,2.7%,2,0.3%,2,0.3%,0,0.0%,6,0.9%,330,69,93.5%,0.3%,0.9%,82.8%,113,61.1%,111,60.0%,2,1.1%,8,4.3%,51,27.6%,4,2.2%,9,4.9%,0,0.0%,17:1,42.00,3,2.1%,17.1,2.0%,35.3%,62.7%,0.0%,0.0%,100.0%,0.0%,2.1:1,68.3%,200,3,22,"1,500"
20112012,1014,Adair County,Adair County Middle School,386,6719,373.68,209,54.1%,177,45.9%,355,92.0%,10,2.6%,17,4.4%,0,0.0%,2,0.5%,1,0.3%,1,0.3%,204,42,94.8%,1.1%,0.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,24.00,3,0.0%,14,12.1%,45.5%,42.4%,0.0%,0.0%,100.0%,0.0%,4.5:1,72.3%,238,9,3,350
20112012,1012,Adair County,Adair Youth Development Center,,,,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0:1,0%,,,,
20112012,1095,Adair County,Colonel William Casey Elementary,390,9068,378.27,213,54.6%,177,45.4%,339,86.9%,8,2.1%,25,6.4%,3,0.8%,0,0.0%,0,0.0%,15,3.8%,262,35,94.5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,30.00,5,0.0%,15,9.4%,25.0%,65.6%,0.0%,0.0%,100.0%,0.0%,1.7:1,91.6%,350,95,10,450
20112012,1013,Adair County,John Adair Intermediate School,356,7198,339.7,182,51.1%,174,48.9%,326,91.6%,8,2.2%,7,2.0%,2,0.6%,2,0.6%,0,0.0%,11,3.1%,197,38,96.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,23.00,0,0.8%,18.5,8.7%,43.5%,47.8%,0.0%,0.0%,100.0%,0.0%,2.5:1,18.1%,320,11,10,345
20112012,1,Adair County,---District---,2459,9871,"2,370.15","1,291",52.5%,"1,168",47.5%,"2,250",91.5%,56,2.3%,91,3.7%,9,0.4%,6,0.2%,1,0.0%,46,1.9%,"1,359",282,94.7%,0.4%,0.8%,76.4%,113,61.1%,111,60.0%,2,1.1%,8,4.3%,51,27.6%,4,2.2%,9,4.9%,0,0.0%,14:1,171.00,15,0.8%,16.4,5.4%,36.0%,58.6%,0.0%,0.0%,100.0%,0.0%,2.3:1,66.7%,"1,287",165,49,"3,141"
20112012,5060,Allen County,Allen County Intermediate Center,714,6568,678.95,365,51.1%,349,48.9%,673,94.3%,7,1.0%,25,3.5%,0,0.0%,0,0.0%,0,0.0%,9,1.3%,338,64,95.5%,0.7%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,40.25,6,0.0%,10.3,16.2%,51.4%,32.4%,0.0%,0.0%,100.0%,5.3%,2.3:1,64.7%,572,47,2,258
20112012,5010,Allen County,Allen County Primary Center,907,7927,862.64,456,50.3%,451,49.7%,864,95.3%,7,0.8%,17,1.9%,4,0.4%,0,0.0%,0,0.0%,15,1.7%,497,84,94.8%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,63.25,1,0.5%,11.5,18.6%,61.4%,20.0%,0.0%,0.0%,100.0%,5.7%,2.3:1,86.6%,768,19,13,"3,178"
20112012,5020,Allen County,Allen County-Scottsville High School,852,8501,810.94,427,50.1%,425,49.9%,800,93.9%,16,1.9%,17,2.0%,3,0.4%,5,0.6%,0,0.0%,11,1.3%,364,84,93.1%,2.0%,1.1%,76.8%,118,54.4%,113,52.1%,5,2.3%,6,2.8%,54,24.9%,22,10.1%,11,5.1%,6,2.8%,16:1,54.88,6,2.2%,9.5,23.7%,47.5%,28.8%,0.0%,0.0%,100.0%,4.8%,3.6:1,55.3%,725,14,2,"3,200"
