SCH_YEAR,SCH_CD,DIST_NAME,SCH_NAME,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,ENROLLMENT_TOTAL,ENROLLMENT_MALE_CNT,ENROLLMENT_MALE_PCT,ENROLLMENT_FEMALE_CNT,ENROLLMENT_FEMALE_PCT,ENROLLMENT_WHITE_CNT,ENROLLMENT_WHITE_PCT,ENROLLMENT_BLACK_CNT,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC_CNT,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_ASIAN_CNT,ENROLLMENT_ASIAN_PCT,ENROLLMENT_AIAN_CNT,ENROLLMENT_AIAN_PCT,ENROLLMENT_HAWAIIAN_CNT,ENROLLMENT_HAWAIIAN_PCT,ENROLLMENT_OTHER_CNT,ENROLLMENT_OTHER_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_FAILURE_CNT,TRANSITION_FAILURE_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS
20122013,1016,Adair County,Adair County Elementary School,7330,571.92,594,321,54.0%,273,46.0%,543,91.4%,6,1.0%,23,3.9%,1,0.2%,0,0.0%,0,0.0%,21,3.5%,371,62.5%,63,10.6%,95.9%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,40.00,3.00,37.00,3,0.0%,18.9,4.8%,26.2%,69.0%,0.0%,0.0%,100.0%,0.0%,3:1,83.2%,248,17,4,188
20122013,1010,Adair County,Adair County High School,6377,699.87,750,382,50.9%,368,49.1%,692,92.3%,18,2.4%,28,3.7%,2,0.3%,3,0.4%,1,0.1%,6,0.8%,372,49.6%,70,9.3%,93.6%,0.1%,1.5%,78.0%,81,52.3%,79,51.0%,2,1.3%,0,0.0%,48,31.0%,13,8.4%,11,7.1%,2,1.3%,18:1,42.00,19.00,23.00,3,3.2%,16.8,4.0%,44.0%,52.0%,0.0%,0.0%,100.0%,0.0%,2.2:1,68.3%,235,58,16,1500
20122013,1014,Adair County,Adair County Middle School,6776,380.28,399,215,53.9%,184,46.1%,366,91.7%,8,2.0%,18,4.5%,1,0.3%,1,0.3%,0,0.0%,5,1.3%,231,57.9%,36,9.0%,94.7%,3.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,24.00,9.00,15.00,3,0.0%,15.8,6.1%,51.5%,42.4%,0.0%,0.0%,100.0%,0.0%,5:1,78.9%,103,8,3,300
20122013,1012,Adair County,Adair Youth Development Center,13426,40.21,45,38,84.4%,7,15.6%,30,66.7%,10,22.2%,1,2.2%,0,0.0%,0,0.0%,0,0.0%,4,8.9%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6:1,8.00,5.00,3.00,,0.0%,8.8,0.0%,66.7%,33.3%,0.0%,0.0%,100.0%,0.0%,8:1,100%,6,0,0,0
20122013,1095,Adair County,Colonel William Casey Elementary,8789,390.8,409,210,51.3%,199,48.7%,353,86.3%,11,2.7%,26,6.4%,3,0.7%,0,0.0%,0,0.0%,16,3.9%,262,64.1%,33,8.1%,95.4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,31.00,1.00,30.00,6,0.0%,16.4,6.7%,23.3%,70.0%,0.0%,0.0%,100.0%,0.0%,1.8:1,94.1%,250,37,10,800
20122013,1013,Adair County,John Adair Intermediate School,6902,352.54,373,187,50.1%,186,49.9%,341,91.4%,6,1.6%,10,2.7%,4,1.1%,2,0.5%,0,0.0%,10,2.7%,230,61.7%,22,5.9%,95.9%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,23.00,5.00,18.00,0,0.0%,19.8,4.3%,47.8%,47.8%,0.0%,0.0%,100.0%,0.0%,3.4:1,24.3%,210,12,3,140
20122013,1,Adair County,---District---,9454,2435.62,2570,1353,52.6%,"1,217",47.4%,"2,325",90.5%,59,2.3%,106,4.1%,11,0.4%,6,0.2%,1,0.0%,62,2.4%,"1,466",57.0%,224,8.7%,95.0%,0.9%,0.9%,78.0%,81,52.3%,79,51.0%,2,1.3%,0,0.0%,48,31.0%,13,8.4%,11,7.1%,2,1.3%,15:1,170.00,43.00,127.00,15,1.1%,17.2,4.9%,39.1%,56.0%,0.0%,0.0%,100.0%,0.0%,2.7:1,74.1%,1200,128,16,920
20122013,5060,Allen County,Allen County Intermediate Center,6445,667.7,692,347,50.1%,345,49.9%,660,95.4%,4,0.6%,17,2.5%,2,0.3%,0,0.0%,0,0.0%,9,1.3%,384,55.5%,43,6.2%,95.6%,0.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,38.25,5.00,33.25,6,0.0%,10.7,17.1%,51.2%,31.7%,0.0%,0.0%,100.0%,2.4%,2.3:1,34.6%,585,52,2,3341
20122013,5010,Allen County,Allen County Primary Center,7884,847.47,889,454,51.1%,435,48.9%,842,94.7%,6,0.7%,23,2.6%,5,0.6%,0,0.0%,0,0.0%,13,1.5%,525,59.1%,72,8.1%,94.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,62.50,0.25,62.25,2,0.0%,12.8,12.1%,63.6%,24.2%,0.0%,0.0%,100.0%,1.5%,2.2:1,36.7%,665,21,13,691
20122013,5901,Allen County,Allen County Vocational Education Center,,,469,228,48.6%,241,51.4%,442,94.2%,7,1.5%,11,2.3%,1,0.2%,2,0.4%,0,0.0%,6,1.3%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0:1,0%,,,,
