SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_TOTAL,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_TWO_OR_MORE_CNT,MEMBERSHIP_TWO_OR_MORE_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_FAILURE_CNT,TRANSITION_FAILURE_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,WHITE_FTE_TOTAL,BLACK_FTE_TOTAL,HISPANIC_FTE_TOTAL,ASIAN_FTE_TOTAL,AIAN_FTE_TOTAL,HAWAIIAN_FTE_TOTAL,TWO_OR_MORE_FTE_TOTAL,RACE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS,COOP,COOP_CODE
20142015,1,ADAIR,1,Adair County,16,Adair County Elementary School,1016,1001016,210003002021,10373,540.18,560,304,54.3%,256,45.7%,515,92.0%,7,1.3%,24,4.3%,2,0.4%,0,0.0%,0,0.0%,12,2.1%,362,64.6%,28,5.0%,95.9%,0.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,41.00,5.00,36.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,2,0.0%,15.4,12.2%,31.7%,43.9%,0.0%,0.0%,88.0%,0.0%,1.2:1,100%,298,30,2,178,GRREC,902
20142015,1,ADAIR,1,Adair County,10,Adair County High School,1010,1001010,210003000001,9486,727.38,771,410,53.2%,361,46.8%,702,91.1%,20,2.6%,36,4.7%,0,0.0%,2,0.3%,1,0.1%,10,1.3%,449,58.2%,40,5.2%,93.6%,0.1%,0.3%,N/A,91,48.7%,89,47.6%,2,1.1%,N/A,0.0%,54,28.9%,15,8.0%,21,11.2%,6,3.2%,16:1,48.00,24.00,24.00,47.00,1.00,0.00,0.00,0.00,0.00,0.00,48.00,2,0.0%,14.5,16.4%,29.1%,38.2%,0.0%,0.0%,84.0%,0.0%,1.6:1,100%,306,21,2,1500,GRREC,902
20142015,1,ADAIR,1,Adair County,14,Adair County Middle School,1014,1001014,210003001919,8338,577.39,605,309,51.1%,296,48.9%,564,93.2%,12,2.0%,9,1.5%,2,0.3%,2,0.3%,0,0.0%,16,2.6%,361,59.7%,38,6.3%,95.1%,0.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,34.00,8.00,26.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,5,0.0%,14.2,9.3%,48.1%,33.3%,0.0%,0.0%,91.0%,0.0%,1.8:1,100%,825,7,2,280,GRREC,902
20142015,1,ADAIR,1,Adair County,20,Adair County Primary Center,1020,1001020,210003002345,9976,619.17,647,322,49.8%,325,50.2%,577,89.2%,9,1.4%,30,4.6%,3,0.5%,1,0.2%,0,0.0%,27,4.2%,467,72.2%,42,6.5%,94.9%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,40.00,1.00,39.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,6,0.0%,13.8,10.6%,21.3%,57.4%,0.0%,0.0%,89.0%,0.0%,1.8:1,100%,600,75,2,400,GRREC,902
20142015,1,ADAIR,1,Adair County,12,Adair Youth Development Center,1012,1001012,210003001913,21264,38.01,40,36,90.0%,4,10.0%,30,75.0%,9,22.5%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1,2.5%,29,72.5%,0,0.0%,99.5%,5.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:1,8.00,5.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,,0.0%,16,0.0%,50.0%,50.0%,0.0%,0.0%,100.0%,0.0%,.8:1,100%,10,,,0,GRREC,902
20142015,1,ADAIR,1,Adair County,,---District Total---,1,,,9606,2502.14,2623,1381,52.6%,"1,242",47.4%,"2,388",91.0%,57,2.2%,99,3.8%,7,0.3%,5,0.2%,1,0.0%,66,2.5%,"1,668",63.6%,148,5.6%,94.9%,0.3%,0.2%,N/A,91,48.4%,89,47.3%,2,1.1%,N/A,0.0%,54,28.7%,15,8.0%,22,11.7%,6,3.2%,15:1,171.00,43.00,128.00,170.00,1.00,0.00,0.00,0.00,0.00,0.00,171.00,15,0.0%,14.5,11.8%,33.5%,42.9%,0.0%,0.0%,88.0%,0.0%,1.5:1,100%,2039,133,8,2358,GRREC,902
20142015,2,ALLEN,5,Allen County,901,Allen County Career and Technical Center,5901,2005901,210007002061,,,,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0:1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0:1,100%,,,,,GRREC,902
20142015,2,ALLEN,5,Allen County,60,Allen County Intermediate Center,5060,2005060,210007000013,8244,623.56,658,329,50.0%,329,50.0%,620,94.2%,6,0.9%,12,1.8%,3,0.5%,0,0.0%,1,0.2%,16,2.4%,379,57.6%,52,7.9%,95.3%,0.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,38.00,4.00,34.00,37.00,1.00,0.00,0.00,0.00,0.00,0.00,38.00,6,0.0%,12.1,15.4%,41.0%,28.2%,0.0%,0.0%,85.0%,0.0%,2.1:1,100%,358,62,6,74,GRREC,902
20142015,2,ALLEN,5,Allen County,10,Allen County Primary Center,5010,2005010,210007000008,8361,911.08,968,464,47.9%,504,52.1%,907,93.7%,5,0.5%,34,3.5%,6,0.6%,0,0.0%,0,0.0%,16,1.7%,610,63.0%,64,6.6%,94.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,65.00,0.00,65.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,2,0.0%,12.1,6.0%,68.7%,19.4%,0.0%,0.0%,94.0%,1.6%,3:1,100%,641,10,7,1950,GRREC,902
20142015,2,ALLEN,5,Allen County,20,Allen County-Scottsville High School,5020,2005020,210007000010,9683,832.09,887,467,52.6%,420,47.4%,842,94.9%,10,1.1%,23,2.6%,2,0.2%,2,0.2%,0,0.0%,8,0.9%,468,52.8%,49,5.5%,93.4%,1.4%,2.2%,N/A,50,29.6%,48,28.4%,2,1.2%,34,20.1%,36,21.3%,33,19.5%,9,5.3%,7,4.1%,16:1,55.00,19.00,36.00,53.00,1.00,1.00,0.00,0.00,0.00,0.00,55.00,5,0.0%,11,8.3%,55.0%,28.3%,0.0%,0.0%,92.0%,1.8%,2.6:1,100%,473,16,27,2187,GRREC,902
