SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_TOTAL,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_TWO_OR_MORE_CNT,MEMBERSHIP_TWO_OR_MORE_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_FAILURE_CNT,TRANSITION_FAILURE_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,WHITE_FTE_TOTAL,BLACK_FTE_TOTAL,HISPANIC_FTE_TOTAL,ASIAN_FTE_TOTAL,AIAN_FTE_TOTAL,HAWAIIAN_FTE_TOTAL,TWO_OR_MORE_FTE_TOTAL,RACE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS,COOP,COOP_CODE
20152016,1,ADAIR,1,Adair County,16,Adair County Elementary School,1016,1001016,210003002021,10460,574.68,592,318,53.7%,274,46.3%,529,89.4%,10,1.7%,28,4.7%,2,0.3%,0,0.0%,0,0.0%,23,3.9%,377,63.7%,27,4.6%,95.8%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,43.00,5.00,38.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,2,0.0%,14.2,28.9%,26.3%,44.7%,0.0%,0.0%,100.0%,0.0%,1.1:1,100%,389,56,3,138,GRREC,902
20152016,1,ADAIR,1,Adair County,10,Adair County High School,1010,1001010,210003000001,10270,736.6,778,412,53.0%,366,47.0%,706,90.7%,19,2.4%,35,4.5%,0,0.0%,2,0.3%,1,0.1%,15,1.9%,438,56.3%,36,4.6%,93.0%,0.0%,0.1%,N/A,73,42.7%,71,41.5%,2,1.2%,N/A,0.0%,66,38.6%,11,6.4%,17,9.9%,4,2.3%,17:1,46.00,22.00,24.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,2,0.0%,13.6,28.3%,26.4%,45.3%,0.0%,0.0%,100.0%,0.0%,1.2:1,100%,291,47,4,260,GRREC,902
20152016,1,ADAIR,1,Adair County,14,Adair County Middle School,1014,1001014,210003001919,8974,576.22,592,289,48.8%,303,51.2%,559,94.4%,8,1.4%,10,1.7%,3,0.5%,0,0.0%,0,0.0%,12,2.0%,361,61.0%,31,5.2%,95.1%,1.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,35.00,9.00,26.00,34.00,1.00,0.00,0.00,0.00,0.00,0.00,35.00,5,0.0%,14.6,18.4%,46.9%,34.7%,0.0%,0.0%,100.0%,0.0%,1.3:1,100%,144,26,3,250,GRREC,902
20152016,1,ADAIR,1,Adair County,20,Adair County Primary Center,1020,1001020,210003002345,10314,582.23,612,307,50.2%,305,49.8%,551,90.0%,6,1.0%,29,4.7%,4,0.7%,1,0.2%,0,0.0%,21,3.4%,430,70.3%,31,5.1%,95.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,39.00,1.00,38.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,5,0.0%,13.3,15.4%,28.2%,56.4%,0.0%,0.0%,100.0%,0.0%,1:1,100%,600,100,20,800,GRREC,902
20152016,1,ADAIR,1,Adair County,12,Adair Youth Development Center,1012,1001012,210003001913,36748,20.82,15,15,100.0%,0,0.0%,9,60.0%,4,26.7%,1,6.7%,0,0.0%,0,0.0%,0,0.0%,1,6.7%,12,80.0%,0,0.0%,99.3%,26.7%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2:1,8.00,5.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,,0.0%,16.2,20.0%,0.0%,80.0%,0.0%,0.0%,100.0%,0.0%,0:1,100%,0,,,0,GRREC,902
20152016,1,ADAIR,1,Adair County,,---District Total---,1,,,10297,2490.55,2589,"1,341",51.8%,"1,248",48.2%,"2,354",90.9%,47,1.8%,103,4.0%,9,0.3%,3,0.1%,1,0.0%,72,2.8%,"1,618",62.5%,125,4.8%,94.7%,0.6%,0.1%,N/A,73,42.7%,71,41.5%,2,1.2%,N/A,0.0%,66,38.6%,11,6.4%,17,9.9%,4,2.3%,15:1,171.00,42.00,129.00,170.00,1.00,0.00,0.00,0.00,0.00,0.00,171.00,15,4.4%,13.8,22.8%,31.5%,45.7%,0.0%,0.0%,100.0%,0.0%,1.2:1,100%,1424,229,30,1448,GRREC,902
20152016,2,ALLEN,5,Allen County,901,Allen County Career and Technical Center,5901,2005901,210007002061,,,639,351,54.9%,288,45.1%,612,95.8%,4,0.6%,16,2.5%,2,0.3%,0,0.0%,0,0.0%,5,0.8%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0:1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0:1,100%,,,,,GRREC,902
20152016,2,ALLEN,5,Allen County,60,Allen County Intermediate Center,5060,2005060,210007000013,8177,614.02,641,318,49.6%,323,50.4%,599,93.4%,8,1.2%,15,2.3%,5,0.8%,0,0.0%,0,0.0%,14,2.2%,391,61.0%,41,6.4%,95.0%,0.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,39.00,3.00,36.00,37.00,1.00,0.00,0.00,0.00,1.00,0.00,39.00,5,0.0%,12.3,18.8%,46.9%,34.4%,0.0%,0.0%,100.0%,0.0%,1.8:1,100%,385,71,2,468,GRREC,902
20152016,2,ALLEN,5,Allen County,10,Allen County Primary Center,5010,2005010,210007000008,9226,892.83,947,479,50.6%,468,49.4%,878,92.7%,7,0.7%,37,3.9%,4,0.4%,0,0.0%,0,0.0%,21,2.2%,602,63.6%,60,6.3%,94.5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,67.00,1.00,66.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,2,0.0%,12.2,21.2%,60.6%,18.2%,0.0%,0.0%,100.0%,1.5%,2.8:1,100%,630,34,5,1300,GRREC,902
20152016,2,ALLEN,5,Allen County,20,Allen County-Scottsville High School,5020,2005020,210007000010,9395,864.28,922,481,52.2%,441,47.8%,876,95.0%,8,0.9%,27,2.9%,2,0.2%,0,0.0%,0,0.0%,9,1.0%,469,50.9%,49,5.3%,93.1%,1.6%,1.0%,N/A,65,33.7%,63,32.6%,2,1.0%,9,4.7%,79,40.9%,32,16.6%,4,2.1%,4,2.1%,17:1,56.00,21.00,35.00,55.00,1.00,0.00,0.00,0.00,0.00,0.00,56.00,5,0.0%,12.8,13.0%,51.9%,33.3%,0.0%,1.9%,100.0%,0.0%,1.4:1,100%,503,17,27,2213,GRREC,902
