SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_TOTAL,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_TWO_OR_MORE_CNT,MEMBERSHIP_TWO_OR_MORE_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_UNKNOWN_CNT,TRANSITION_UNKNOWN_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,WHITE_FTE_TOTAL,BLACK_FTE_TOTAL,HISPANIC_FTE_TOTAL,ASIAN_FTE_TOTAL,AIAN_FTE_TOTAL,HAWAIIAN_FTE_TOTAL,TWO_OR_MORE_FTE_TOTAL,RACE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS,COOP,COOP_CODE
20162017,1,ADAIR,1,Adair County,16,Adair County Elementary School,1016,1001016,210003002021,10855,575.05,593,303,51.1%,290,48.9%,520,87.7%,11,1.9%,32,5.4%,3,0.5%,0,0.0%,0,0.0%,27,4.6%,417,70.3%,23,3.9%,95.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,43.00,6.00,37.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,2,0.0%,14.9,18.9%,40.5%,40.5%,0.0%,0.0%,100.0%,0.0%,1.1:1,100%,217,21,3,81,GRREC,902
20162017,1,ADAIR,1,Adair County,10,Adair County High School,1010,1001010,210003000001,11224,731.78,772,397,51.4%,375,48.6%,701,90.8%,18,2.3%,28,3.6%,2,0.3%,1,0.1%,0,0.0%,22,2.8%,460,59.6%,33,4.3%,93.5%,0.0%,0.0%,N/A,90,45.5%,89,45.0%,1,0.5%,1,0.5%,65,32.8%,26,13.1%,15,7.6%,1,0.5%,16:1,49.00,25.00,24.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,2,0.0%,13.2,23.6%,30.9%,43.6%,1.8%,0.0%,100.0%,1.6%,1.1:1,100%,103,9,5,312,GRREC,902
20162017,1,ADAIR,1,Adair County,14,Adair County Middle School,1014,1001014,210003001919,9640,564.52,591,303,51.3%,288,48.7%,547,92.6%,4,0.7%,25,4.2%,2,0.3%,0,0.0%,0,0.0%,13,2.2%,365,61.8%,29,4.9%,94.6%,0.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,37.00,11.00,26.00,36.00,1.00,0.00,0.00,0.00,0.00,0.00,37.00,5,0.0%,14.4,25.0%,42.3%,32.7%,0.0%,0.0%,100.0%,0.0%,1.2:1,100%,144,15,4,160,GRREC,902
20162017,1,ADAIR,1,Adair County,20,Adair County Primary Center,1020,1001020,210003002345,12528,485.17,579,299,51.6%,280,48.4%,520,89.8%,8,1.4%,23,4.0%,2,0.3%,1,0.2%,0,0.0%,25,4.3%,394,68.0%,33,5.7%,94.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,40.00,1.00,39.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,5,0.0%,14.4,16.7%,21.4%,61.9%,0.0%,0.0%,100.0%,0.0%,.8:1,100%,500,48,3,3000,GRREC,902
20162017,1,ADAIR,1,Adair County,12,Adair Learning Academy,1012,1001012,210003001913,,19.69,25,22,88.0%,3,12.0%,17,68.0%,3,12.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,5,20.0%,11,44.0%,0,0.0%,99.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3:1,8.00,3.00,5.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,,0.0%,15.8,20.0%,20.0%,60.0%,0.0%,0.0%,100.0%,0.0%,.6:1,100%,0,,,10,GRREC,902
20162017,1,ADAIR,1,Adair County,,---District Total---,1,,,11284,2376.21,2560,1324,51.7%,1236,48.3%,"2,305",90.0%,44,1.7%,108,4.2%,9,0.4%,2,0.1%,0,0.0%,92,3.6%,"1,647",64.3%,118,4.6%,94.5%,0.3%,0.0%,N/A,90,45.5%,89,45.0%,1,0.5%,1,0.5%,65,32.8%,26,13.1%,15,7.6%,1,0.5%,14:1,177.00,46.00,131.00,176.00,1.00,0.00,0.00,0.00,0.00,0.00,177.00,13,0.0%,14.3,21.5%,33.5%,44.5%,0.5%,0.0%,100.0%,0.5%,1:1,100%,964,93,15,3563,GRREC,902
20162017,2,ALLEN,5,Allen County,901,Allen County Career and Technical Center,5901,2005901,210007002061,0,,362,196,54.1%,166,45.9%,344,95.0%,4,1.1%,9,2.5%,1,0.3%,0,0.0%,0,0.0%,4,1.1%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0:1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0:1,100%,,,,,GRREC,902
20162017,2,ALLEN,5,Allen County,60,Allen County Intermediate Center,5060,2005060,210007000013,8558,671.33,703,354,50.4%,349,49.6%,657,93.5%,6,0.9%,22,3.1%,4,0.6%,1,0.1%,1,0.1%,12,1.7%,440,62.6%,34,4.8%,95.1%,0.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,41.00,3.00,38.00,39.00,1.00,0.00,0.00,0.00,1.00,0.00,41.00,5,0.0%,12.5,25.0%,43.8%,31.3%,0.0%,0.0%,100.0%,0.0%,1.4:1,100%,498,153,2,376,GRREC,902
20162017,2,ALLEN,5,Allen County,10,Allen County Primary Center,5010,2005010,210007000008,9153,870.18,918,448,48.8%,470,51.2%,844,91.9%,6,0.7%,38,4.1%,5,0.5%,0,0.0%,0,0.0%,25,2.7%,616,67.1%,36,3.9%,94.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,67.00,1.00,66.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,2,0.0%,10.2,30.2%,60.4%,9.4%,0.0%,0.0%,100.0%,3.8%,2.5:1,100%,745,78,5,1500,GRREC,902
20162017,2,ALLEN,5,Allen County,20,Allen County-Scottsville High School,5020,2005020,210007000010,10759,833.63,893,469,52.5%,424,47.5%,845,94.6%,6,0.7%,26,2.9%,2,0.2%,0,0.0%,0,0.0%,14,1.6%,445,49.8%,19,2.1%,92.9%,1.8%,1.0%,N/A,73,35.3%,70,33.8%,3,1.5%,13,6.3%,49,23.7%,55,26.6%,10,4.8%,7,3.4%,16:1,58.00,21.00,37.00,57.00,0.00,1.00,0.00,0.00,0.00,0.00,58.00,5,0.0%,12.9,16.1%,51.8%,30.4%,0.0%,1.8%,100.0%,1.7%,1.5:1,100%,503,17,27,2213,GRREC,902
