SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,TOTEXP,Teacher Count,AVGEXPERIENCEYEARS,FILLER
20172018,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,GRREC,902,575,38,15,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,730,52,14,
20172018,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,638,46,14,
20172018,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,GRREC,902,546,38,14,
20172018,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003001913,GRREC,902,76,4,19,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,2405,167,14,
20172018,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,GRREC,902,363,32,11,
20172018,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,GRREC,902,572,52,11,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,721,60,12,
20172018,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,GRREC,902,379,29,13,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,1980,170,12,
20172018,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,OVEC,906,562,39,14,
20172018,056,JEFFERSON,006,Anchorage Independent,,---District Total---,006,,,OVEC,906,562,39,14,
20172018,003,ANDERSON,011,Anderson County,030,APEX Academy,011030,003011030,210012002371,CKEC,901,93,5,19,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,724,65,11,
20172018,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,CKEC,901,550,50,11,
20172018,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,CKEC,901,287,23,13,
20172018,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,CKEC,901,55,11,5,
20172018,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,CKEC,901,283,26,11,
20172018,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,CKEC,901,250,22,11,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,2184,196,11,
20172018,010,BOYD,012,Ashland Independent,012,Ashland Head Start,012012,010012012,210015002023,KEDC,903,41,8,5,
20172018,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,KEDC,903,697,55,13,
20172018,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,KEDC,903,349,25,14,
20172018,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,KEDC,903,374,29,13,
20172018,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,KEDC,903,267,27,10,
20172018,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,KEDC,903,372,28,13,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,828,59,14,
20172018,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,KEDC,903,271,23,12,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,2879,231,13,
20172018,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,206,19,11,
20172018,012,BRACKEN,013,Augusta Independent,,---District Total---,013,,,KEDC,903,206,19,11,
20172018,004,BALLARD,015,Ballard County,070,Ballard Co. Preschool/Headstart Center,015070,004015070,210021000040,WKEC,908,27,4,7,
20172018,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,WKEC,908,376,29,13,
20172018,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000035,WKEC,908,280,24,12,
20172018,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,WKEC,908,381,32,12,
20172018,004,BALLARD,015,Ballard County,,---District Total---,015,,,WKEC,908,919,75,12,
20172018,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,530,42,13,
20172018,061,KNOX,016,Barbourville Independent,,---District Total---,016,,,SESC,907,530,42,13,
20172018,090,NELSON,017,Bardstown Independent,005,Bardstown Alternative School,017005,090017005,210027002359,CKEC,901,22,1,22,
20172018,090,NELSON,017,Bardstown Independent,009,Bardstown Early Childhood Center,017009,090017009,210027002222,CKEC,901,106,10,11,
20172018,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,CKEC,901,437,35,13,
20172018,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,CKEC,901,462,41,11,
20172018,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,CKEC,901,550,38,15,
20172018,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,CKEC,901,429,32,13,
20172018,090,NELSON,017,Bardstown Independent,,---District Total---,017,,,CKEC,901,1893,147,13,
20172018,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,GRREC,902,176,15,12,
20172018,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,1164,76,15,
20172018,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,GRREC,902,480,47,10,
20172018,005,BARREN,021,Barren County,011,College Street Campus,021011,005021011,210030001303,GRREC,902,115,8,14,
20172018,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,GRREC,902,237,27,9,
20172018,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,GRREC,902,348,21,17,
20172018,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,GRREC,902,336,29,12,
20172018,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,GRREC,902,264,23,12,
20172018,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,GRREC,902,573,38,15,
20172018,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,GRREC,902,263,21,13,
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,3836,294,13,
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,652,40,16,
20172018,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,KEDC,903,250,24,10,
20172018,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,KEDC,903,358,29,12,
20172018,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,KEDC,903,373,30,12,
20172018,006,BATH,025,Bath County,012,Second Chance Academy,025012,006025012,210033002335,KEDC,903,51,2,26,
20172018,006,BATH,025,Bath County,,---District Total---,025,,,KEDC,903,1671,123,14,
20172018,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000059,NKCES,905,554,36,15,
20172018,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,NKCES,905,546,39,14,
20172018,059,KENTON,026,Beechwood Independent,420,Guardian Angel,026420,059026420,210036002409,NKCES,905,51,5,10,
20172018,059,KENTON,026,Beechwood Independent,,---District Total---,026,,,NKCES,905,1128,78,15,
20172018,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,SESC,907,491,33,15,
20172018,007,BELL,031,Bell County,340,Bell County Alternative School,031340,007031340,210039000002,SESC,907,45,2,23,
20172018,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,SESC,907,503,38,13,
20172018,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,SESC,907,176,12,15,
20172018,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,SESC,907,152,12,13,
20172018,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,SESC,907,393,22,18,
20172018,007,BELL,031,Bell County,345,Right Fork School Center,031345,007031345,210039000072,SESC,907,192,13,15,
20172018,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,SESC,907,477,33,15,
20172018,007,BELL,031,Bell County,,---District Total---,031,,,SESC,907,2258,156,15,
20172018,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,NKCES,905,250,25,10,
20172018,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000076,NKCES,905,234,21,11,
20172018,019,CAMPBELL,032,Bellevue Independent,,---District Total---,032,,,NKCES,905,484,46,11,
20172018,073,MADISON,034,Berea Independent,010,Berea Community Elementary School,034010,073034010,210048000077,SESC,907,413,32,13,
20172018,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,SESC,907,348,27,13,
20172018,073,MADISON,034,Berea Independent,015,Berea Community Middle School,034015,073034015,210048001658,SESC,907,436,35,13,
20172018,073,MADISON,034,Berea Independent,,---District Total---,034,,,SESC,907,922,73,13,
20172018,008,BOONE,035,Boone County,005,A M Yealey Elementary School,035005,008035005,210051000079,NKCES,905,440,30,15,
20172018,008,BOONE,035,Boone County,170,Boone County Alternative Center,035170,008035170,210051002266,NKCES,905,168,20,8,
20172018,008,BOONE,035,Boone County,030,Boone County High School,035030,008035030,210051000081,NKCES,905,1242,92,14,
20172018,008,BOONE,035,Boone County,040,Burlington Elementary School,035040,008035040,210051000082,NKCES,905,620,48,13,
20172018,008,BOONE,035,Boone County,010,Camp Ernst Middle School,035010,008035010,210051001971,NKCES,905,811,66,12,
20172018,008,BOONE,035,Boone County,041,Charles H. Kelly Elementary School,035041,008035041,210051001519,NKCES,905,293,21,14,
20172018,008,BOONE,035,Boone County,055,Chester Goodridge Elementary School,035055,008035055,210051000086,NKCES,905,583,44,13,
20172018,008,BOONE,035,Boone County,045,Conner High School,035045,008035045,210051000084,NKCES,905,1001,89,11,
20172018,008,BOONE,035,Boone County,043,Conner Middle School,035043,008035043,210051000083,NKCES,905,812,67,12,
20172018,008,BOONE,035,Boone County,006,Erpenbeck Elementary School,035006,008035006,210051001710,NKCES,905,548,39,14,
20172018,008,BOONE,035,Boone County,050,Florence Elementary School,035050,008035050,210051000085,NKCES,905,259,35,7,
20172018,008,BOONE,035,Boone County,075,Gray Middle School,035075,008035075,210051000638,NKCES,905,885,68,13,
20172018,008,BOONE,035,Boone County,065,Hillard Collins Elementary School,035065,008035065,210051001608,NKCES,905,358,43,8,
20172018,008,BOONE,035,Boone County,014,Imagineering Academy,035014,008035014,,NKCES,905,99,9,11,
20172018,008,BOONE,035,Boone County,071,Larry A. Ryle High School,035071,008035071,210051000011,NKCES,905,1519,112,14,
20172018,008,BOONE,035,Boone County,017,Longbranch Elementary School,035017,008035017,210051002245,NKCES,905,586,43,14,
20172018,008,BOONE,035,Boone County,080,New Haven Elementary School,035080,008035080,210051000088,NKCES,905,566,51,11,
20172018,008,BOONE,035,Boone County,008,North Pointe Elementary School,035008,008035008,210051001883,NKCES,905,457,33,14,
20172018,008,BOONE,035,Boone County,081,Ockerman Elementary School,035081,008035081,210051000089,NKCES,905,433,41,11,
20172018,008,BOONE,035,Boone County,085,Ockerman Middle School,035085,008035085,210051000090,NKCES,905,772,59,13,
20172018,008,BOONE,035,Boone County,015,Randall K. Cooper High School,035015,008035015,210051002206,NKCES,905,880,83,11,
20172018,008,BOONE,035,Boone County,020,Rector A. Jones Middle School,035020,008035020,210051000080,NKCES,905,510,55,9,
20172018,008,BOONE,035,Boone County,011,Shirley Mann Elementary School,035011,008035011,210051002022,NKCES,905,662,46,14,
20172018,008,BOONE,035,Boone County,083,Stephens Elementary School,035083,008035083,210051001695,NKCES,905,450,40,11,
20172018,008,BOONE,035,Boone County,012,Thornwilde Elementary School,035012,008035012,210051002290,NKCES,905,350,32,11,
20172018,008,BOONE,035,Boone County,,---District Total---,035,,,NKCES,905,14694,1220,12,
20172018,009,BOURBON,041,Bourbon County,010,Bourbon Central Elementary School,041010,009041010,210054001576,CKEC,901,218,28,8,
20172018,009,BOURBON,041,Bourbon County,110,Bourbon County High School,041110,009041110,210054000098,CKEC,901,542,54,10,
20172018,009,BOURBON,041,Bourbon County,120,Bourbon County Middle School,041120,009041120,210054000099,CKEC,901,527,45,12,
20172018,009,BOURBON,041,Bourbon County,011,Bourbon County Preschool Headstart,041011,009041011,210054002054,CKEC,901,74,8,9,
20172018,009,BOURBON,041,Bourbon County,030,Cane Ridge Elementary School,041030,009041030,210054000024,CKEC,901,326,30,11,
20172018,009,BOURBON,041,Bourbon County,090,North Middletown Elementary School,041090,009041090,210054000096,CKEC,901,53,7,8,
20172018,009,BOURBON,041,Bourbon County,,---District Total---,041,,,CKEC,901,1680,166,10,
20172018,114,WARREN,042,Bowling Green Independent,070,Bowling Green High School,042070,114042070,210057000105,GRREC,902,1041,80,13,
20172018,114,WARREN,042,Bowling Green Independent,065,Bowling Green Junior High,042065,114042065,210057000104,GRREC,902,748,63,12,
20172018,114,WARREN,042,Bowling Green Independent,098,Bowling Green Learning Center,042098,114042098,210057001696,GRREC,902,63,6,11,
20172018,114,WARREN,042,Bowling Green Independent,011,Childrens Crisis Stabilization Unit,042011,114042011,210057001830,GRREC,902,11,1,11,
20172018,114,WARREN,042,Bowling Green Independent,010,Dishman McGinnis Elementary School,042010,114042010,210057000100,GRREC,902,412,34,12,
20172018,114,WARREN,042,Bowling Green Independent,057,Parker-Bennett-Curry School,042057,114042057,210057000102,GRREC,902,264,28,9,
20172018,114,WARREN,042,Bowling Green Independent,060,Potter Gray Elementary,042060,114042060,210057000103,GRREC,902,371,27,14,
20172018,114,WARREN,042,Bowling Green Independent,080,T C Cherry Elementary School,042080,114042080,210057000106,GRREC,902,283,24,12,
20172018,114,WARREN,042,Bowling Green Independent,090,W R McNeill Elementary School,042090,114042090,210057000107,GRREC,902,305,26,12,
20172018,114,WARREN,042,Bowling Green Independent,013,Warren Regional Juvenile Detention Ctr,042013,114042013,210057001911,GRREC,902,57,3,19,
20172018,114,WARREN,042,Bowling Green Independent,,---District Total---,042,,,GRREC,902,3273,268,12,
20172018,010,BOYD,045,Boyd County,198,Boyd Co Early Childhood Learning Ctr Nor,045198,010045198,210062001923,KEDC,903,102,5,20,
20172018,010,BOYD,045,Boyd County,015,Boyd Co Early Childhood Learning Ctr Sou,045015,010045015,210062001972,KEDC,903,71,6,12,
20172018,010,BOYD,045,Boyd County,010,Boyd County High School,045010,010045010,210062000108,KEDC,903,845,62,14,
20172018,010,BOYD,045,Boyd County,035,Boyd County Middle School,045035,010045035,210062000112,KEDC,903,519,45,12,
20172018,010,BOYD,045,Boyd County,020,Cannonsburg Elementary School,045020,010045020,210062000109,KEDC,903,359,25,14,
20172018,010,BOYD,045,Boyd County,095,Catlettsburg Elementary School,045095,010045095,210062000118,KEDC,903,279,23,12,
20172018,010,BOYD,045,Boyd County,097,Ponderosa Elementary School,045097,010045097,210062000030,KEDC,903,350,25,14,
20172018,010,BOYD,045,Boyd County,085,Ramey-Estep High School,045085,010045085,210062000640,KEDC,903,121,11,11,
20172018,010,BOYD,045,Boyd County,080,Summit Elementary School,045080,010045080,210062000117,KEDC,903,461,32,14,
20172018,010,BOYD,045,Boyd County,,---District Total---,045,,,KEDC,903,2767,218,13,
20172018,011,BOYLE,051,Boyle County,004,Boyle County Day Treatment,051004,011051004,210063001713,CKEC,901,15,1,15,
20172018,011,BOYLE,051,Boyle County,005,Boyle County High School,051005,011051005,210063000120,CKEC,901,690,54,13,
20172018,011,BOYLE,051,Boyle County,003,Boyle County Middle School,051003,011051003,210063000119,CKEC,901,592,42,14,
20172018,011,BOYLE,051,Boyle County,040,Junction City Elementary School,051040,011051040,210063000121,CKEC,901,279,31,9,
20172018,011,BOYLE,051,Boyle County,080,Perryville Elementary School,051080,011051080,210063000124,CKEC,901,220,16,14,
20172018,011,BOYLE,051,Boyle County,050,Woodlawn Elementary School,051050,011051050,210063000122,CKEC,901,346,31,11,
20172018,011,BOYLE,051,Boyle County,,---District Total---,051,,,CKEC,901,2073,169,12,
20172018,012,BRACKEN,055,Bracken County,010,Bracken County High School,055010,012055010,210066000125,NKCES,905,229,22,10,
20172018,012,BRACKEN,055,Bracken County,060,Bracken County Middle School,055060,012055060,210066001560,NKCES,905,160,17,9,
20172018,012,BRACKEN,055,Bracken County,050,Taylor Elementary School,055050,012055050,210066000128,NKCES,905,489,32,15,
