SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,TOTEXP,Teacher Count,AVGEXPERIENCEYEARS
20182019,1,ADAIR,1,Adair County,16,Adair County Elementary School,1016,1001016,210003002021,GRREC,902,440,33,13.3
20182019,1,ADAIR,1,Adair County,10,Adair County High School,1010,1001010,210003000001,GRREC,902,705,48,14.7
20182019,1,ADAIR,1,Adair County,14,Adair County Middle School,1014,1001014,210003001919,GRREC,902,604,45,13.4
20182019,1,ADAIR,1,Adair County,20,Adair County Primary Center,1020,1001020,210003002345,GRREC,902,555,35,15.9
20182019,1,ADAIR,1,Adair County,12,Adair Learning Academy,1012,1001012,210003001913,GRREC,902,80,4,20
20182019,1,ADAIR,1,Adair County,,---District Total---,1,,,GRREC,902,2241,154,14.6
20182019,2,ALLEN,5,Allen County,60,Allen County Intermediate Center,5060,2005060,210007000013,GRREC,902,404,34,11.9
20182019,2,ALLEN,5,Allen County,10,Allen County Primary Center,5010,2005010,210007000008,GRREC,902,624,52,12
20182019,2,ALLEN,5,Allen County,20,Allen County-Scottsville High School,5020,2005020,210007000010,GRREC,902,698,58,12
20182019,2,ALLEN,5,Allen County,15,James E Bazzell Middle School,5015,2005015,210007000009,GRREC,902,372,29,12.8
20182019,2,ALLEN,5,Allen County,,---District Total---,5,,,GRREC,902,2040,170,12
20182019,56,JEFFERSON,6,Anchorage Independent,10,Anchorage Independent Public School,6010,56006010,210009000014,OVEC,906,590,37,15.9
20182019,56,JEFFERSON,6,Anchorage Independent,,---District Total---,6,,,OVEC,906,590,37,15.9
20182019,3,ANDERSON,11,Anderson County,30,APEX Academy,11030,3011030,210012002371,CKEC,901,63,4,15.8
20182019,3,ANDERSON,11,Anderson County,20,Anderson County High School,11020,3011020,210012000016,CKEC,901,750,64,11.7
20182019,3,ANDERSON,11,Anderson County,25,Anderson County Middle School,11025,3011025,210012000017,CKEC,901,498,45,11.1
20182019,3,ANDERSON,11,Anderson County,110,Emma B. Ward Elementary School,11110,3011110,210012000021,CKEC,901,298,21,14.2
20182019,3,ANDERSON,11,Anderson County,120,Ezra Sparrow Early Childhood Center,11120,3011120,210012001298,CKEC,901,79,13,6.1
20182019,3,ANDERSON,11,Anderson County,22,Robert B. Turner Elementary School,11022,3011022,210012001955,CKEC,901,284,25,11.4
20182019,3,ANDERSON,11,Anderson County,50,Saffell Street Elementary School,11050,3011050,210012000018,CKEC,901,263,21,12.5
20182019,3,ANDERSON,11,Anderson County,,---District Total---,11,,,CKEC,901,2201,190,11.6
20182019,10,BOYD,12,Ashland Independent,12,Ashland Head Start,12012,10012012,210015002023,KEDC,903,61,11,5.5
20182019,10,BOYD,12,Ashland Independent,50,Ashland Middle School,12050,10012050,210015000023,KEDC,903,623,53,11.8
20182019,10,BOYD,12,Ashland Independent,130,Charles Russell Elementary School,12130,10012130,210015000031,KEDC,903,241,19,12.7
20182019,10,BOYD,12,Ashland Independent,70,Crabbe Elementary School,12070,10012070,210015000025,KEDC,903,277,22,12.6
20182019,10,BOYD,12,Ashland Independent,80,Hager Elementary School,12080,10012080,210015000026,KEDC,903,192,24,8
20182019,10,BOYD,12,Ashland Independent,100,Oakview Elementary School,12100,10012100,210015000028,KEDC,903,237,19,12.5
20182019,10,BOYD,12,Ashland Independent,10,Paul G. Blazer High School,12010,10012010,210015000022,KEDC,903,767,60,12.8
20182019,10,BOYD,12,Ashland Independent,110,Poage Elementary School,12110,10012110,210015000029,KEDC,903,240,20,12
20182019,10,BOYD,12,Ashland Independent,,---District Total---,12,,,KEDC,903,2472,214,11.6
20182019,12,BRACKEN,13,Augusta Independent,11,Augusta Independent School,13011,12013011,210018001968,KEDC,903,200,16,12.5
20182019,12,BRACKEN,13,Augusta Independent,,---District Total---,13,,,KEDC,903,200,16,12.5
20182019,4,BALLARD,15,Ballard County,70,Ballard Co. Preschool/Headstart Center,15070,4015070,210021000040,WKEC,908,31,4,7.8
20182019,4,BALLARD,15,Ballard County,50,Ballard County Elementary School,15050,4015050,210021000356,WKEC,908,378,28,13.5
20182019,4,BALLARD,15,Ballard County,5,Ballard County Middle School,15005,4015005,210021000035,WKEC,908,222,22,10.1
20182019,4,BALLARD,15,Ballard County,10,Ballard Memorial High School,15010,4015010,210021000036,WKEC,908,310,30,10.3
20182019,4,BALLARD,15,Ballard County,,---District Total---,15,,,WKEC,908,864,72,12
20182019,61,KNOX,16,Barbourville Independent,11,Barbourville City School,16011,61016011,210024001969,SESC,907,541,40,13.5
20182019,61,KNOX,16,Barbourville Independent,,---District Total---,16,,,SESC,907,541,40,13.5
20182019,90,NELSON,17,Bardstown Independent,5,Bardstown Alternative School,17005,90017005,210027002359,CKEC,901,23,1,23
20182019,90,NELSON,17,Bardstown Independent,9,Bardstown Early Childhood Center,17009,90017009,210027002222,CKEC,901,98,9,10.9
20182019,90,NELSON,17,Bardstown Independent,10,Bardstown Elementary School,17010,90017010,210027000044,CKEC,901,399,33,12.1
20182019,90,NELSON,17,Bardstown Independent,20,Bardstown High School,17020,90017020,210027000045,CKEC,901,597,43,13.9
20182019,90,NELSON,17,Bardstown Independent,30,Bardstown Middle School,17030,90017030,210027000046,CKEC,901,515,35,14.7
20182019,90,NELSON,17,Bardstown Independent,12,Bardstown Primary School,17012,90017012,210027002050,CKEC,901,430,31,13.9
20182019,90,NELSON,17,Bardstown Independent,,---District Total---,17,,,CKEC,901,1961,144,13.6
20182019,5,BARREN,21,Barren County,10,Austin Tracy Elementary School,21010,5021010,210030000047,GRREC,902,142,15,9.5
20182019,5,BARREN,21,Barren County,27,Barren County High School,21027,5021027,210030000048,GRREC,902,1209,76,15.9
20182019,5,BARREN,21,Barren County,50,Barren County Middle School,21050,5021050,210030000607,GRREC,902,484,49,9.9
20182019,5,BARREN,21,Barren County,11,College Street Campus,21011,5021011,210030001303,GRREC,902,113,9,12.6
20182019,5,BARREN,21,Barren County,35,Eastern Elementary School,21035,5021035,210030000049,GRREC,902,284,28,10.1
20182019,5,BARREN,21,Barren County,80,Hiseville Elementary School,21080,5021080,210030000050,GRREC,902,316,20,15.8
20182019,5,BARREN,21,Barren County,14,North Jackson Elementary,21014,5021014,210030002232,GRREC,902,279,27,10.3
