SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,TOTAL YEARS EXPERIENCE,EDUCATOR COUNT,AVERAGE YEARS OF EXPERIENCE
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,2272,161,14.1
20192020,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,649,47,13.8
20192020,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003001913,GRREC,902,73,5,14.6
20192020,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,686,49,14
20192020,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,GRREC,902,465,33,14.1
20192020,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,GRREC,902,590,39,15.1
20192020,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,2064,170,12.1
20192020,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,GRREC,902,664,52,12.8
20192020,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,GRREC,902,415,30,13.8
20192020,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,682,57,12
20192020,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,GRREC,902,363,34,10.7
20192020,056,JEFFERSON,006,Anchorage Independent,"",---District Total---,006,"","",OVEC,906,630,37,17
20192020,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,OVEC,906,630,37,17
20192020,003,ANDERSON,011,Anderson County,"",---District Total---,011,"","",CKEC,901,2123,187,11.4
20192020,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,623,60,10.4
20192020,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,CKEC,901,289,25,11.6
20192020,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,CKEC,901,557,48,11.6
20192020,003,ANDERSON,011,Anderson County,030,APEX Academy,011030,003011030,210012002371,CKEC,901,29,2,14.5
20192020,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,CKEC,901,241,21,11.5
20192020,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,CKEC,901,319,21,15.2
20192020,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,CKEC,901,80,13,6.2
20192020,010,BOYD,012,Ashland Independent,"",---District Total---,012,"","",KEDC,903,2539,209,12.1
20192020,010,BOYD,012,Ashland Independent,005,Ashland Alternative School,012005,010012005,210015002487,KEDC,903,32,2,16
20192020,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,755,58,13
20192020,010,BOYD,012,Ashland Independent,012,Ashland Head Start,012012,010012012,210015002023,KEDC,903,71,9,7.9
20192020,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,KEDC,903,622,54,11.5
20192020,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,KEDC,903,202,21,9.6
20192020,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,KEDC,903,193,23,8.4
20192020,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,KEDC,903,272,19,14.3
20192020,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,KEDC,903,255,18,14.2
20192020,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,KEDC,903,264,19,13.9
20192020,012,BRACKEN,013,Augusta Independent,"",---District Total---,013,"","",KEDC,903,192,15,12.8
20192020,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,192,15,12.8
20192020,004,BALLARD,015,Ballard County,"",---District Total---,015,"","",WKEC,908,830,72,11.5
20192020,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000035,WKEC,908,203,23,8.8
20192020,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,WKEC,908,303,30,10.1
20192020,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,WKEC,908,378,29,13
20192020,004,BALLARD,015,Ballard County,070,Ballard Co. Preschool/Headstart Center,015070,004015070,210021000040,WKEC,908,41,3,13.7
20192020,061,KNOX,016,Barbourville Independent,"",---District Total---,016,"","",SESC,907,464,40,11.6
20192020,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,464,40,11.6
20192020,090,NELSON,017,Bardstown Independent,"",---District Total---,017,"","",CKEC,901,2076,149,13.9
20192020,090,NELSON,017,Bardstown Independent,005,Bardstown Alternative School,017005,090017005,210027002359,CKEC,901,34,2,17
20192020,090,NELSON,017,Bardstown Independent,009,Bardstown Early Childhood Center,017009,090017009,210027002222,CKEC,901,106,8,13.3
20192020,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,CKEC,901,442,37,11.9
20192020,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,CKEC,901,461,32,14.4
