SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,SCHOOL TYPE,EDUCATOR COUNT,AVERAGE YEARS OF EXPERIENCE
20212022,1,ADAIR,1,Adair County,10,Adair County High School,1010,A1,44,14.1
20212022,1,ADAIR,1,Adair County,12,Adair Learning Academy,1012,A6,3,10.7
20212022,1,ADAIR,1,Adair County,14,Adair County Middle School,1014,A1,41,11.9
20212022,1,ADAIR,1,Adair County,16,Adair County Elementary School,1016,A1,36,15.5
20212022,1,ADAIR,1,Adair County,20,Adair County Primary Center,1020,A1,38,11.3
20212022,2,ALLEN,5,Allen County,10,Allen County Primary Center,5010,A1,50,12.2
20212022,2,ALLEN,5,Allen County,15,James E Bazzell Middle School,5015,A1,28,12.0
20212022,2,ALLEN,5,Allen County,20,Allen County-Scottsville High School,5020,A1,60,12.3
20212022,2,ALLEN,5,Allen County,60,Allen County Intermediate Center,5060,A1,31,12.1
20212022,56,JEFFERSON,6,Anchorage Independent,10,Anchorage Independent Public School,6010,A1,35,18.8
20212022,3,ANDERSON,11,Anderson County,20,Anderson County High School,11020,A1,67,11.9
20212022,3,ANDERSON,11,Anderson County,22,Robert B. Turner Elementary School,11022,A1,25,13.2
20212022,3,ANDERSON,11,Anderson County,25,Anderson County Middle School,11025,A1,49,11.3
20212022,3,ANDERSON,11,Anderson County,50,Saffell Street Elementary School,11050,A1,23,8.7
20212022,3,ANDERSON,11,Anderson County,110,Emma B. Ward Elementary School,11110,A1,21,16.6
20212022,3,ANDERSON,11,Anderson County,120,Ezra Sparrow Early Childhood Center,11120,A1,15,6.9
20212022,10,BOYD,12,Ashland Independent,10,Paul G. Blazer High School,12010,A1,64,14.8
20212022,10,BOYD,12,Ashland Independent,12,Ashland Head Start,12012,A4,8,7.3
20212022,10,BOYD,12,Ashland Independent,50,Ashland Middle School,12050,A1,52,12.2
20212022,10,BOYD,12,Ashland Independent,70,Crabbe Elementary School,12070,A1,21,8.5
20212022,10,BOYD,12,Ashland Independent,80,Hager Elementary School,12080,A1,23,6.2
20212022,10,BOYD,12,Ashland Independent,100,Oakview Elementary School,12100,A1,19,16.6
20212022,10,BOYD,12,Ashland Independent,110,Poage Elementary School,12110,A1,16,13.8
20212022,10,BOYD,12,Ashland Independent,130,Charles Russell Elementary School,12130,A1,17,16.0
20212022,12,BRACKEN,13,Augusta Independent,11,Augusta Independent School,13011,A1,20,10.5
20212022,4,BALLARD,15,Ballard County,5,Ballard County Middle School,15005,A1,23,9.1
20212022,4,BALLARD,15,Ballard County,10,Ballard Memorial High School,15010,A1,26,10.4
20212022,4,BALLARD,15,Ballard County,50,Ballard County Elementary School,15050,A1,29,12.0
20212022,4,BALLARD,15,Ballard County,70,Ballard Co. Preschool/Headstart Center,15070,A4,4,11.8
20212022,61,KNOX,16,Barbourville Independent,11,Barbourville City School,16011,A1,37,12.4
20212022,90,NELSON,17,Bardstown Independent,5,Bardstown Alternative School,17005,A5,5,10.4
20212022,90,NELSON,17,Bardstown Independent,9,Bardstown Early Childhood Center,17009,A4,8,12.1
20212022,90,NELSON,17,Bardstown Independent,10,Bardstown Elementary School,17010,A1,31,12.1
20212022,90,NELSON,17,Bardstown Independent,12,Bardstown Primary School,17012,A1,34,15.1
20212022,90,NELSON,17,Bardstown Independent,20,Bardstown High School,17020,A1,51,17.1
20212022,90,NELSON,17,Bardstown Independent,30,Bardstown Middle School,17030,A1,40,15.2
20212022,5,BARREN,21,Barren County,10,Austin Tracy Elementary School,21010,A1,18,6.8
20212022,5,BARREN,21,Barren County,11,College Street Campus,21011,A5,6,12.0
20212022,5,BARREN,21,Barren County,12,BAVEL,21012,A5,8,18.1
20212022,5,BARREN,21,Barren County,14,North Jackson Elementary,21014,A1,29,9.4
20212022,5,BARREN,21,Barren County,27,Barren County High School,21027,A1,80,13.8
20212022,5,BARREN,21,Barren County,35,Eastern Elementary School,21035,A1,27,9.9
20212022,5,BARREN,21,Barren County,50,Barren County Middle School,21050,A1,45,9.3
20212022,5,BARREN,21,Barren County,80,Hiseville Elementary School,21080,A1,21,13.8
20212022,5,BARREN,21,Barren County,130,Park City Elementary School,21130,A1,21,8.0
20212022,5,BARREN,21,Barren County,150,Red Cross Elementary School,21150,A1,28,14.1
20212022,5,BARREN,21,Barren County,180,Temple Hill Elementary School,21180,A1,17,8.4
20212022,6,BATH,25,Bath County,12,Second Chance Academy,25012,A5,1,3.0
20212022,6,BATH,25,Bath County,14,Crossroads Elementary School,25014,A1,26,12.8
20212022,6,BATH,25,Bath County,20,Bath County Middle School,25020,A1,26,12.3
