SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,TOTAL YEARS EXPERIENCE,EDUCATOR COUNT,AVERAGE YEARS OF EXPERIENCE
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",2299,176,13.06
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,858,55,15.6
20222023,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003001913,GRREC,902,A6,51,4,12.75
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,500,46,10.87
20222023,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,GRREC,902,A1,502,36,13.94
20222023,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,GRREC,902,A1,388,35,11.09
20222023,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",1821,161,11.31
20222023,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,GRREC,902,A1,591,50,11.82
20222023,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,GRREC,902,A1,286,26,11
20222023,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,A1,566,53,10.68
20222023,002,ALLEN,005,Allen County,025,Patriot Academy,005025,002005025,"",GRREC,902,A5,70,3,23.33
20222023,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,GRREC,902,A1,308,29,10.62
20222023,056,JEFFERSON,006,Anchorage Independent,"",---District Total---,006,"","",OVEC,906,"",634,33,19.21
20222023,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,OVEC,906,A1,634,33,19.21
20222023,003,ANDERSON,011,Anderson County,"",---District Total---,011,"","",CKEC,901,"",2271,194,11.71
20222023,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,A1,818,67,12.21
20222023,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,CKEC,901,A1,258,26,9.92
20222023,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,CKEC,901,A1,534,44,12.14
20222023,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,CKEC,901,A1,196,21,9.33
20222023,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,CKEC,901,A1,351,22,15.95
20222023,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,CKEC,901,A1,114,14,8.14
20222023,010,BOYD,012,Ashland Independent,"",---District Total---,012,"","",KEDC,903,"",2664,220,12.11
20222023,010,BOYD,012,Ashland Independent,005,Ashland Alternative School,012005,010012005,210015002487,KEDC,903,A5,29,2,14.5
20222023,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,A1,869,61,14.25
20222023,010,BOYD,012,Ashland Independent,012,Ashland Head Start,012012,010012012,210015002023,KEDC,903,A4,62,9,6.89
