SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,STATE_SCH_ID,NCESID,COOP,COOP_CODE,PERSON_PER_STU_FED,NONPERSON_PER_STU_FED,TOTAL_PER_STU_FED,PERSON_PER_STU_STATELOCAL,NONPERSON_PER_STU_STATELOCAL,TOTAL_PER_STU_STATELOCAL,TOTAL_PER_STU_ALLFUNDS
20182019,1,ADAIR,1,Adair County,16,Adair County Elementary School,1001016,210003002021,GRREC,902,872,171,1042,7738,1515,9253,11220
20182019,1,ADAIR,1,Adair County,10,Adair County High School,1001010,210003000001,GRREC,902,933,165,1098,8213,1716,9929,11951
20182019,1,ADAIR,1,Adair County,20,Adair County Primary Center,1001020,210003002345,GRREC,902,941,194,1135,9109,1419,10528,12590
20182019,1,ADAIR,1,Adair County,14,Adair County Middle School,1001014,210003001919,GRREC,902,774,163,937,7816,1394,9210,11071
20182019,2,ALLEN,5,Allen County,15,James E Bazzell Middle School,2005015,210007000009,GRREC,902,1390,267,1657,16747,3086,19832,21763
20182019,2,ALLEN,5,Allen County,10,Allen County Primary Center,2005010,210007000008,GRREC,902,1171,217,1388,15483,2588,18071,19699
20182019,2,ALLEN,5,Allen County,60,Allen County Intermediate Center,2005060,210007000013,GRREC,902,1165,259,1424,15608,2802,18410,20007
20182019,2,ALLEN,5,Allen County,20,Allen County-Scottsville High School,2005020,210007000010,GRREC,902,965,315,1280,16888,3746,20633,22190
20182019,56,JEFFERSON,6,Anchorage Independent,10,Anchorage Independent Public School,56006010,210009000014,OVEC,906,60,276,337,16925,4676,22096,22274
20182019,3,ANDERSON,11,Anderson County,50,Saffell Street Elementary School,3011050,210012000018,CKEC,901,956,44,1000,8144,743,8887,9887
20182019,3,ANDERSON,11,Anderson County,22,Robert B. Turner Elementary School,3011022,210012001955,CKEC,901,515,34,549,7485,592,8077,8626
20182019,3,ANDERSON,11,Anderson County,120,Ezra Sparrow Early Childhood Center,3011120,210012001298,CKEC,901,2393,2102,4495,15190,1004,16194,20689
20182019,3,ANDERSON,11,Anderson County,20,Anderson County High School,3011020,210012000016,CKEC,901,245,41,286,6990,897,7887,8173
20182019,3,ANDERSON,11,Anderson County,25,Anderson County Middle School,3011025,210012000017,CKEC,901,236,22,258,6363,611,6974,7232
20182019,3,ANDERSON,11,Anderson County,110,Emma B. Ward Elementary School,3011110,210012000021,CKEC,901,649,42,691,9068,646,9714,10405
20182019,10,BOYD,12,Ashland Independent,80,Hager Elementary School,10012080,210015000026,KEDC,903,892,433,1325,7426,1449,8875,10200
20182019,10,BOYD,12,Ashland Independent,100,Oakview Elementary School,10012100,210015000028,KEDC,903,669,756,1425,9849,1597,11446,12871
20182019,10,BOYD,12,Ashland Independent,50,Ashland Middle School,10012050,210015000023,KEDC,903,429,365,794,8812,1503,10315,11109
20182019,10,BOYD,12,Ashland Independent,110,Poage Elementary School,10012110,210015000029,KEDC,903,1242,553,1795,10368,1613,11981,13776
20182019,10,BOYD,12,Ashland Independent,130,Charles Russell Elementary School,10012130,210015000031,KEDC,903,802,618,1420,11465,1699,13164,14584
20182019,10,BOYD,12,Ashland Independent,70,Crabbe Elementary School,10012070,210015000025,KEDC,903,1272,1136,2408,11697,1829,13526,15934
20182019,10,BOYD,12,Ashland Independent,10,Paul G. Blazer High School,10012010,210015000022,KEDC,903,258,379,637,8967,1797,10764,11401
20182019,12,BRACKEN,13,Augusta Independent,11,Augusta Independent School,12013011,210018001968,KEDC,903,961,151,1112,9194,2414,11608,14473
20182019,4,BALLARD,15,Ballard County,50,Ballard County Elementary School,4015050,210021000356,WKEC,908,1147,139,1287,8469,2000,10607,13743
20182019,4,BALLARD,15,Ballard County,10,Ballard Memorial High School,4015010,210021000036,WKEC,908,459,144,603,9796,2892,12825,15290
20182019,4,BALLARD,15,Ballard County,5,Ballard County Middle School,4015005,210021000035,WKEC,908,1002,105,1107,9825,1296,11259,14142
20182019,61,KNOX,16,Barbourville Independent,11,Barbourville City School,61016011,210024001969,SESC,907,825,692,1517,8258,1671,9929,14537
20182019,90,NELSON,17,Bardstown Independent,10,Bardstown Elementary School,90017010,210027000044,CKEC,901,189,86,275,10166,1543,11699,13504
20182019,90,NELSON,17,Bardstown Independent,20,Bardstown High School,90017020,210027000045,CKEC,901,191,95,286,10459,1837,12286,14083
20182019,90,NELSON,17,Bardstown Independent,12,Bardstown Primary School,90017012,210027002050,CKEC,901,519,53,573,10318,1306,11613,13566
20182019,90,NELSON,17,Bardstown Independent,30,Bardstown Middle School,90017030,210027000046,CKEC,901,145,105,251,8911,1436,10336,11967
20182019,5,BARREN,21,Barren County,10,Austin Tracy Elementary School,5021010,210030000047,GRREC,902,861,181,1042,7790,1214,10318,14149
20182019,5,BARREN,21,Barren County,80,Hiseville Elementary School,5021080,210030000050,GRREC,902,1155,182,1336,8824,1620,11758,15843
20182019,5,BARREN,21,Barren County,14,North Jackson Elementary,5021014,210030002232,GRREC,902,694,160,854,6483,1194,8990,12412
20182019,5,BARREN,21,Barren County,150,Red Cross Elementary School,5021150,210030000052,GRREC,902,1084,128,1212,7073,1050,9436,13217
20182019,5,BARREN,21,Barren County,130,Park City Elementary School,5021130,210030000051,GRREC,902,620,143,763,7384,1077,9775,13283
20182019,5,BARREN,21,Barren County,180,Temple Hill Elementary School,5021180,210030000053,GRREC,902,997,183,1180,7820,1322,10456,14203
20182019,5,BARREN,21,Barren County,35,Eastern Elementary School,5021035,210030000049,GRREC,902,526,207,733,7381,1137,9830,13318
20182019,5,BARREN,21,Barren County,50,Barren County Middle School,5021050,210030000607,GRREC,902,452,82,534,6542,1031,8886,11989
20182019,5,BARREN,21,Barren County,27,Barren County High School,5021027,210030000048,GRREC,902,716,120,836,8026,1455,10794,14273
20182019,6,BATH,25,Bath County,30,Owingsville Elementary School,6025030,210033000056,KEDC,903,1196,174,1370,8416,1990,10406,11791
20182019,6,BATH,25,Bath County,14,Crossroads Elementary School,6025014,210033002223,KEDC,903,1362,133,1496,8687,1844,10531,11930
20182019,6,BATH,25,Bath County,40,Bath County High School,6025040,210033000057,KEDC,903,444,71,515,9494,2343,11837,23773
20182019,6,BATH,25,Bath County,20,Bath County Middle School,6025020,210033001606,KEDC,903,751,88,839,8003,1807,9811,11190
20182019,59,KENTON,26,Beechwood Independent,20,Beechwood High School,59026020,210036000060,NKCES,905,86,121,207,9029,347,9376,11811
20182019,59,KENTON,26,Beechwood Independent,10,Beechwood Elementary School,59026010,210036000059,NKCES,905,316,130,446,8156,259,8415,10749
20182019,7,BELL,31,Bell County,390,Yellow Creek School Center,7031390,210039000074,SESC,907,2573,287,2860,13784,3727,17511,20371
20182019,7,BELL,31,Bell County,250,Lone Jack School Center,7031250,210039000068,SESC,907,3268,389,3657,17547,4383,21930,25587
20182019,7,BELL,31,Bell County,180,Frakes School Center,7031180,210039000067,SESC,907,3318,253,3571,16448,4467,20915,24486
20182019,7,BELL,31,Bell County,345,Right Fork School Center,7031345,210039000072,SESC,907,3305,357,3662,17484,4479,21963,25625
20182019,7,BELL,31,Bell County,40,Bell County High School,7031040,210039000062,SESC,907,1901,274,2175,13795,4461,18256,20431
20182019,7,BELL,31,Bell County,12,Bell Central School Center,7031012,210039001881,SESC,907,2705,313,3018,15219,3889,19108,22126
20182019,7,BELL,31,Bell County,13,Page School Center,7031013,210039001882,SESC,907,2796,311,3107,15042,4042,19084,22191
20182019,19,CAMPBELL,32,Bellevue Independent,20,Grandview Elementary School,19032020,210042000076,NKCES,905,549,800,1348,10265,2702,12992,14985
20182019,19,CAMPBELL,32,Bellevue Independent,10,Bellevue High School,19032010,210042000075,NKCES,905,630,881,1510,9968,2218,12211,14834
20182019,73,MADISON,34,Berea Independent,20,Berea Community High School,73034020,210048000078,SESC,907,983,935,1918,10786,4094,14880,14806
20182019,73,MADISON,34,Berea Independent,15,Berea Community Middle School,73034015,210048001658,SESC,907,1152,501,1653,9758,2705,12463,12435
20182019,73,MADISON,34,Berea Independent,10,Berea Community Elementary School,73034010,210048000077,SESC,907,1052,691,1743,10808,2720,13527,13492
20182019,8,BOONE,35,Boone County,6,Erpenbeck Elementary School,8035006,210051001710,NKCES,905,96,71,167,7852,992,8844,9011
20182019,8,BOONE,35,Boone County,8,North Pointe Elementary School,8035008,210051001883,NKCES,905,221,74,295,9002,1046,10048,10343
20182019,8,BOONE,35,Boone County,12,Thornwilde Elementary School,8035012,210051002290,NKCES,905,73,70,143,7688,991,8679,8822
20182019,8,BOONE,35,Boone County,25,Ballyshannon Middle School,8035025,210051002460,NKCES,905,89,74,163,7819,1888,9707,9870
20182019,8,BOONE,35,Boone County,5,A M Yealey Elementary School,8035005,210051000079,NKCES,905,256,164,420,9273,1086,10359,10779
20182019,8,BOONE,35,Boone County,20,Rector A. Jones Middle School,8035020,210051000080,NKCES,905,317,157,474,8002,1108,9110,9584
20182019,8,BOONE,35,Boone County,30,Boone County High School,8035030,210051000081,NKCES,905,66,92,158,8637,1203,9840,9997
20182019,8,BOONE,35,Boone County,40,Burlington Elementary School,8035040,210051000082,NKCES,905,343,99,442,8161,935,9096,9538
20182019,8,BOONE,35,Boone County,41,Charles H. Kelly Elementary School,8035041,210051001519,NKCES,905,349,143,492,11745,1259,13004,13496
