SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,MEMBERSHIP,Personnel Spending per Student - Federal Funds,Non-Personnel Spending per Student - Federal Funds,Total Spending per Student - Federal Funds,Personnel Spending per Student - State/Local Funds,Non-Personnel Spending per Student - State/Local Funds,Total Spending per Student - State/Local Funds,Total Spending per Student - All Fund Sources
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,2598,897,142,1039,8496,1534,10029,12174
20192020,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,798,698,122,820,8161,1617,9778,11646
20192020,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003001913,GRREC,902,17,,,,,,,
20192020,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,628,798,130,928,7766,1324,9089,11103
20192020,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,GRREC,902,598,1010,161,1171,7821,1458,9279,11572
20192020,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,GRREC,902,557,1039,156,1196,10138,1643,11783,14115
20192020,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,2968,701,100,801,8337,1649,9986,12215
20192020,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,GRREC,902,905,1403,181,1584,16959,3250,20208,21792
20192020,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,GRREC,902,490,1750,201,1951,16832,3644,20476,22427
20192020,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,873,1183,220,1404,17269,3607,20877,22280
20192020,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,GRREC,902,700,1426,201,1627,15967,3180,19146,20773
20192020,002,ALLEN,005,Allen County,901,Allen County Career and Technical Center,005901,002005901,210007002061,GRREC,902,0,,,,,,,
20192020,056,JEFFERSON,006,Anchorage Independent,"",---District Total---,006,"","",OVEC,906,392,85,261,346,17609,4570,22179,22878
20192020,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,OVEC,906,392,85,261,346,17609,4570,22179,22878
20192020,003,ANDERSON,011,Anderson County,"",---District Total---,011,"","",CKEC,901,3555,485,161,646,8332,1464,9795,12988
20192020,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,1033,318,40,357,7243,1640,8884,11103
20192020,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,CKEC,901,536,563,36,599,7755,1238,8993,11513
20192020,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,CKEC,901,895,193,38,231,6609,1263,7872,9977
20192020,003,ANDERSON,011,Anderson County,030,APEX Academy,011030,003011030,210012002371,CKEC,901,108,,,,,,,
20192020,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,CKEC,901,394,727,40,767,9406,1521,10927,13699
20192020,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,CKEC,901,419,358,45,403,9651,1238,10891,13728
20192020,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,CKEC,901,170,1279,1179,2458,9413,1278,10690,10601
20192020,010,BOYD,012,Ashland Independent,"",---District Total---,012,"","",KEDC,903,3118,1189,415,1603,9141,1463,10603,13339
20192020,010,BOYD,012,Ashland Independent,005,Ashland Alternative School,012005,010012005,210015002487,KEDC,903,14,,,,,,,
20192020,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,887,608,334,943,8940,2005,10882,12496
20192020,010,BOYD,012,Ashland Independent,012,Ashland Head Start,012012,010012012,210015002023,KEDC,903,0,,,,,,,
20192020,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,KEDC,903,751,634,297,931,8750,1627,10314,11926
