SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,MEMBERSHIP,Personnel Spending per Student - Federal Funds,Non-Personnel Spending per Student - Federal Funds,Total Spending per Student - Federal Funds,Personnel Spending per Student - State/Local Funds,Non-Personnel Spending per Student - State/Local Funds,Total Spending per Student - State/Local Funds,Total Spending per Student - All Fund Sources
20202021,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",2572,983,632,1615,8374,1409,9783,13054
20202021,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,790,662.00,551.00,1213.00,8252.00,1584.00,9836.00,11189.00
20202021,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003001913,GRREC,902,A6,28,,,,,,,
20202021,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,636,904.00,482.00,1386.00,7581.00,1262.00,8843.00,10384.00
20202021,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,GRREC,902,A1,561,1119.00,545.00,1664.00,8357.00,1336.00,9693.00,11555.00
20202021,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,GRREC,902,A1,557,1294.00,1005.00,2299.00,9467.00,1389.00,10856.00,13362.00
20202021,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",2911,623,450,1073,8665,1344,10008,12603
20202021,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,GRREC,902,A1,826,1235,797,2032,16978,2728,19706,21738
20202021,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,GRREC,902,A1,483,1637,1061,2698,17579,2578,20157,22855
20202021,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,A1,892,994,845,1839,17228,2834,20062,21901
20202021,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,GRREC,902,A1,710,1157,884,2041,16135,2374,18510,20551
20202021,002,ALLEN,005,Allen County,901,Allen County Career and Technical Center,005901,002005901,210007002061,GRREC,902,A2,0,,,,,,,
20202021,056,JEFFERSON,006,Anchorage Independent,"",---District Total---,006,"","",OVEC,906,"",377,62,476,537,19070,4623,23692,24325
20202021,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,OVEC,906,A1,377,62,476,537,19070,4623,23692,24325
20202021,003,ANDERSON,011,Anderson County,"",---District Total---,011,"","",CKEC,901,"",3538,688,377,1065,8411,1526,9938,12806
20202021,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,A1,891,431,332,763,8489,2099,10588,12603
20202021,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,CKEC,901,A1,500,730,328,1058,9122,1589,10712,12615
20202021,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,CKEC,901,A1,724,282,318,600,8231,1633,9864,11656
20202021,003,ANDERSON,011,Anderson County,030,APEX Academy,011030,003011030,210012002371,CKEC,901,A5,437,,,,,,,
20202021,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,CKEC,901,A1,371,884,328,1212,10507,1758,12265,14243
20202021,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,CKEC,901,A1,429,1154,315,1469,10802,1634,12437,14480
20202021,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,CKEC,901,A1,186,1754,826,2580,12103,2173,14276,15945
20202021,010,BOYD,012,Ashland Independent,"",---District Total---,012,"","",KEDC,903,"",2992,2399,684,3084,8280,1474,9754,14443
20202021,010,BOYD,012,Ashland Independent,005,Ashland Virtual Learning Center,012005,010012005,210015002487,KEDC,903,A5,211,,,,,,,
20202021,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,A1,939,3324,755,5351,14363,2512,16958,23740
20202021,010,BOYD,012,Ashland Independent,012,Ashland Head Start,012012,010012012,210015002023,KEDC,903,A4,0,,,,,,,
20202021,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,KEDC,903,A1,698,3483,797,4280,15297,2099,10233,15943
20202021,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,KEDC,903,A1,200,4351,1257,5608,15853,1998,17850,24889
20202021,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,KEDC,903,A1,304,3722,832,4554,12808,1924,14733,20717
20202021,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,KEDC,903,A1,240,4257,1063,5320,15472,1890,17362,24112
20202021,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,KEDC,903,A1,229,4106,949,5055,16565,1971,18539,25025
20202021,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,KEDC,903,A1,171,4523,909,5432,18577,2166,18539,25025
20202021,012,BRACKEN,013,Augusta Independent,"",---District Total---,013,"","",KEDC,903,"",296,1057,535,1592,9088,2289,11377,14457
20202021,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,A1,296,1057,535,1592,9088,2289,11377,14457
20202021,004,BALLARD,015,Ballard County,"",---District Total---,015,"","",WKEC,908,"",995,696,747,1443,10128,1989,12117,16675
20202021,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000035,WKEC,908,A1,225,873,465,1338,9508,1251,10760,15035
20202021,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,WKEC,908,A1,300,375,1078,1453,13634,2996,14489,19069
20202021,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,WKEC,908,A1,470,816,671,1486,9554,1699,11253,15932
20202021,004,BALLARD,015,Ballard County,070,Ballard Co. Preschool/Headstart Center,015070,004015070,210021000040,WKEC,908,A4,0,,,,,,,
20202021,004,BALLARD,015,Ballard County,905,Ballard County Career and Technology Ctr,015905,004015905,210021002404,WKEC,908,A2,0,,,,,,,
20202021,061,KNOX,016,Barbourville Independent,"",---District Total---,016,"","",SESC,907,"",605,1104,918,2021,8415,1948,10364,13330
20202021,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,A1,605,1104,917,2021,8415,1947,10364,13330
20202021,090,NELSON,017,Bardstown Independent,"",---District Total---,017,"","",CKEC,901,"",2435,650,649,1298,11167,1178,12345,18559
20202021,090,NELSON,017,Bardstown Independent,005,Bardstown Alternative School,017005,090017005,210027002359,CKEC,901,A5,57,,,,,,,
20202021,090,NELSON,017,Bardstown Independent,009,Bardstown Early Childhood Center,017009,090017009,210027002222,CKEC,901,A4,0,,,,,,,
20202021,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,CKEC,901,A1,568,844,646,1490,10293,894,11188,17273
20202021,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,CKEC,901,A1,611,959,536,1495,10437,894,11298,17220
20202021,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,CKEC,901,A1,623,260,577,837,10805,1601,12405,17806
20202021,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,CKEC,901,A1,576,194,560,753,10050,951,11001,16182
20202021,005,BARREN,021,Barren County,"",---District Total---,021,"","",GRREC,902,"",4883,1021,665,1686,8787,2244,11032,17193
20202021,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,GRREC,902,A1,272,1560,607,2167,7796,2539,10649,17152
20202021,005,BARREN,021,Barren County,011,College Street Campus,021011,005021011,210030001303,GRREC,902,A5,47,,,,,,,
20202021,005,BARREN,021,Barren County,012,BAVEL,021012,005021012,210030001970,GRREC,902,A5,224,,,,,,,
20202021,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,GRREC,902,A1,494,860,733,1593,7670,1783,9768,15501
20202021,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,A1,1350,820,552,1372,7980,1547,9844,15427
20202021,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,GRREC,902,A1,323,965,779,1744,7969,2088,10371,16454
20202021,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,GRREC,902,A1,758,644,541,1186,7260,2432,10010,15336
20202021,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,GRREC,902,A1,242,980,684,1664,8778,2213,11305,17272
20202021,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,GRREC,902,A1,346,1183,673,1856,11093,2102,10809,17006
20202021,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,GRREC,902,A1,559,1213,748,1960,8451,1879,10645,16746
20202021,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,GRREC,902,A1,268,1514,523,2037,8346,2195,10856,17034
20202021,006,BATH,025,Bath County,"",---District Total---,025,"","",KEDC,903,"",1894,1174,558,1732,8243,1777,10020,13213
20202021,006,BATH,025,Bath County,012,Second Chance Academy,025012,006025012,210033002335,KEDC,903,A5,0,,,,,,,
20202021,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,KEDC,903,A1,338,1667,777,2444,10355,2318,12674,14083
20202021,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,KEDC,903,A1,501,1003,501,1504,8049,2012,10061,11448
20202021,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,KEDC,903,A1,486,1427,591,2017,8944,2277,11221,12606
20202021,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,A1,569,666,383,1049,9518,2444,11961,13450
20202021,059,KENTON,026,Beechwood Independent,"",---District Total---,026,"","",NKCES,905,"",1404,251,261,512,9095,2020,11115,13419
20202021,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000059,NKCES,905,A1,654,324,398,722,9576,1858,11436,13949
20202021,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,NKCES,905,A1,716,181,129,310,8629,2176,10807,12909
20202021,059,KENTON,026,Beechwood Independent,420,Guardian Angel,026420,059026420,210036002409,NKCES,905,A6,34,,,,,,,
20202021,007,BELL,031,Bell County,"",---District Total---,031,"","",SESC,907,"",2451,3211,685,3897,8044,2860,10904,16202
20202021,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,SESC,907,A1,436,6572.00,1322.00,7894.00,8391.00,3730.00,12121.00,20015.00
20202021,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,SESC,907,A1,289,7247.00,1343.00,8590.00,7523.00,3569.00,11092.00,19682.00
20202021,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,SESC,907,A1,726,5103.00,1418.00,6521.00,5589.00,3704.00,9293.00,15814.00
20202021,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,SESC,907,A1,98,7138.00,1341.00,8479.00,16811.00,4487.00,21298.00,29777.00
20202021,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,SESC,907,A1,144,8045.00,1389.00,9434.00,9214.00,4032.00,13246.00,22680.00
20202021,007,BELL,031,Bell County,345,Right Fork School Center,031345,007031345,210039000072,SESC,907,A1,155,7655.00,1402.00,9057.00,10698.00,3955.00,14653.00,23710.00
20202021,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,SESC,907,A1,603,6123.00,1355.00,7478.00,5889.00,3318.00,9207.00,16685.00
20202021,019,CAMPBELL,032,Bellevue Independent,"",---District Total---,032,"","",NKCES,905,"",579,1053,2140,3193,11189,2541,13730,20026
20202021,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,NKCES,905,A1,373,894,1861,2755,10901,4112,15013,18130
20202021,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000076,NKCES,905,A1,206,1087,2072,3160,12471,4664,17135,19265
20202021,073,MADISON,034,Berea Independent,"",---District Total---,034,"","",SESC,907,"",1011,1758,646,2403,9762,2172,11934,15501
