SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,SCHOOL TYPE,MEMBERSHIP,Total Spending per Student - All Fund Sources
20212022,1,ADAIR,1,Adair County,10,Adair County High School,1010,A1,776,13553
20212022,1,ADAIR,1,Adair County,12,Adair Learning Academy,1012,A6,31,
20212022,1,ADAIR,1,Adair County,14,Adair County Middle School,1014,A1,637,10081
20212022,1,ADAIR,1,Adair County,16,Adair County Elementary School,1016,A1,545,12031
20212022,1,ADAIR,1,Adair County,20,Adair County Primary Center,1020,A1,577,13623
20212022,2,ALLEN,5,Allen County,10,Allen County Primary Center,5010,A1,867,24258
20212022,2,ALLEN,5,Allen County,15,James E Bazzell Middle School,5015,A1,474,25226
20212022,2,ALLEN,5,Allen County,20,Allen County-Scottsville High School,5020,A1,898,27283
20212022,2,ALLEN,5,Allen County,60,Allen County Intermediate Center,5060,A1,702,23362
20212022,2,ALLEN,5,Allen County,901,Allen County Career and Technical Center,5901,A2,0,
20212022,56,JEFFERSON,6,Anchorage Independent,10,Anchorage Independent Public School,6010,A1,405,24459
20212022,3,ANDERSON,11,Anderson County,20,Anderson County High School,11020,A1,1173,10645
20212022,3,ANDERSON,11,Anderson County,22,Robert B. Turner Elementary School,11022,A1,539,12261
20212022,3,ANDERSON,11,Anderson County,25,Anderson County Middle School,11025,A1,825,10724
20212022,3,ANDERSON,11,Anderson County,30,APEX Academy,11030,A5,0,
20212022,3,ANDERSON,11,Anderson County,50,Saffell Street Elementary School,11050,A1,396,13944
20212022,3,ANDERSON,11,Anderson County,110,Emma B. Ward Elementary School,11110,A1,456,14558
20212022,3,ANDERSON,11,Anderson County,120,Ezra Sparrow Early Childhood Center,11120,A1,185,15406
20212022,10,BOYD,12,Ashland Independent,5,Ashland Virtual Learning Center,12005,A5,0,
20212022,10,BOYD,12,Ashland Independent,10,Paul G. Blazer High School,12010,A1,923,12152
20212022,10,BOYD,12,Ashland Independent,12,Ashland Head Start,12012,A4,0,
20212022,10,BOYD,12,Ashland Independent,50,Ashland Middle School,12050,A1,697,11493
20212022,10,BOYD,12,Ashland Independent,70,Crabbe Elementary School,12070,A1,294,12159
20212022,10,BOYD,12,Ashland Independent,80,Hager Elementary School,12080,A1,357,9932
20212022,10,BOYD,12,Ashland Independent,100,Oakview Elementary School,12100,A1,291,14052
20212022,10,BOYD,12,Ashland Independent,110,Poage Elementary School,12110,A1,285,13290
20212022,10,BOYD,12,Ashland Independent,130,Charles Russell Elementary School,12130,A1,204,15905
20212022,12,BRACKEN,13,Augusta Independent,11,Augusta Independent School,13011,A1,308,15193
20212022,4,BALLARD,15,Ballard County,5,Ballard County Middle School,15005,A1,236,15199
20212022,4,BALLARD,15,Ballard County,10,Ballard Memorial High School,15010,A1,260,21720
20212022,4,BALLARD,15,Ballard County,50,Ballard County Elementary School,15050,A1,455,16968
20212022,4,BALLARD,15,Ballard County,70,Ballard Co. Preschool/Headstart Center,15070,A4,0,
20212022,4,BALLARD,15,Ballard County,905,Ballard County Career and Technology Ctr,15905,A2,0,
20212022,61,KNOX,16,Barbourville Independent,11,Barbourville City School,16011,A1,630,13991
20212022,90,NELSON,17,Bardstown Independent,5,Bardstown Alternative School,17005,A5,80,
20212022,90,NELSON,17,Bardstown Independent,9,Bardstown Early Childhood Center,17009,A4,0,
20212022,90,NELSON,17,Bardstown Independent,10,Bardstown Elementary School,17010,A1,555,19661
20212022,90,NELSON,17,Bardstown Independent,12,Bardstown Primary School,17012,A1,586,19644
20212022,90,NELSON,17,Bardstown Independent,20,Bardstown High School,17020,A1,616,19783
20212022,90,NELSON,17,Bardstown Independent,30,Bardstown Middle School,17030,A1,557,18339
20212022,5,BARREN,21,Barren County,10,Austin Tracy Elementary School,21010,A1,272,17818
20212022,5,BARREN,21,Barren County,11,College Street Campus,21011,A5,55,
20212022,5,BARREN,21,Barren County,12,BAVEL,21012,A5,276,
20212022,5,BARREN,21,Barren County,14,North Jackson Elementary,21014,A1,483,16148
20212022,5,BARREN,21,Barren County,27,Barren County High School,21027,A1,1312,17234
20212022,5,BARREN,21,Barren County,35,Eastern Elementary School,21035,A1,330,17214
20212022,5,BARREN,21,Barren County,50,Barren County Middle School,21050,A1,698,16269
20212022,5,BARREN,21,Barren County,80,Hiseville Elementary School,21080,A1,252,18515
20212022,5,BARREN,21,Barren County,130,Park City Elementary School,21130,A1,341,17244
20212022,5,BARREN,21,Barren County,150,Red Cross Elementary School,21150,A1,571,16759
20212022,5,BARREN,21,Barren County,180,Temple Hill Elementary School,21180,A1,266,17868
20212022,6,BATH,25,Bath County,12,Second Chance Academy,25012,A5,14,
20212022,6,BATH,25,Bath County,14,Crossroads Elementary School,25014,A1,344,14873
20212022,6,BATH,25,Bath County,20,Bath County Middle School,25020,A1,466,13040
20212022,6,BATH,25,Bath County,30,Owingsville Elementary School,25030,A1,487,13698
20212022,6,BATH,25,Bath County,40,Bath County High School,25040,A1,570,14246
20212022,59,KENTON,26,Beechwood Independent,10,Beechwood Elementary School,26010,A1,703,17036
20212022,59,KENTON,26,Beechwood Independent,20,Beechwood High School,26020,A1,728,17334
20212022,59,KENTON,26,Beechwood Independent,420,Guardian Angel,26420,A6,24,
20212022,7,BELL,31,Bell County,12,Bell Central School Center,31012,A1,431,21727
20212022,7,BELL,31,Bell County,13,Page School Center,31013,A1,283,20220
20212022,7,BELL,31,Bell County,40,Bell County High School,31040,A1,719,15200
20212022,7,BELL,31,Bell County,180,Frakes School Center,31180,A1,95,32807
20212022,7,BELL,31,Bell County,250,Lone Jack School Center,31250,A1,163,22968
20212022,7,BELL,31,Bell County,345,Right Fork School Center,31345,A1,134,24384
20212022,7,BELL,31,Bell County,390,Yellow Creek School Center,31390,A1,549,17715
20212022,19,CAMPBELL,32,Bellevue Independent,10,Bellevue High School,32010,A1,366,19838
20212022,19,CAMPBELL,32,Bellevue Independent,20,Grandview Elementary School,32020,A1,216,21597
20212022,73,MADISON,34,Berea Independent,10,Berea Community Elementary School,34010,A1,430,11924
20212022,73,MADISON,34,Berea Independent,15,Berea Community Middle School,34015,A1,240,12899
20212022,73,MADISON,34,Berea Independent,20,Berea Community High School,34020,A1,341,10373
20212022,8,BOONE,35,Boone County,5,A M Yealey Elementary School,35005,A1,548,12320
20212022,8,BOONE,35,Boone County,6,Erpenbeck Elementary School,35006,A1,652,11616
20212022,8,BOONE,35,Boone County,8,North Pointe Elementary School,35008,A1,392,15326
20212022,8,BOONE,35,Boone County,10,Camp Ernst Middle School,35010,A1,783,11030
20212022,8,BOONE,35,Boone County,11,Shirley Mann Elementary School,35011,A1,735,11133
20212022,8,BOONE,35,Boone County,12,Thornwilde Elementary School,35012,A1,642,10912
20212022,8,BOONE,35,Boone County,15,Randall K. Cooper High School,35015,A1,1377,10344
20212022,8,BOONE,35,Boone County,17,Longbranch Elementary School,35017,A1,855,10596
20212022,8,BOONE,35,Boone County,18,Steeplechase Elementary School,35018,A1,553,12227
20212022,8,BOONE,35,Boone County,20,Rector A. Jones Middle School,35020,A1,688,11800
20212022,8,BOONE,35,Boone County,25,Ballyshannon Middle School,35025,A1,666,10314
20212022,8,BOONE,35,Boone County,30,Boone County High School,35030,A1,1270,11420
20212022,8,BOONE,35,Boone County,40,Burlington Elementary School,35040,A1,642,12394
20212022,8,BOONE,35,Boone County,41,Charles H. Kelly Elementary School,35041,A1,218,16751
20212022,8,BOONE,35,Boone County,43,Conner Middle School,35043,A1,878,10991
20212022,8,BOONE,35,Boone County,45,Conner High School,35045,A1,1406,10509
20212022,8,BOONE,35,Boone County,50,Florence Elementary School,35050,A1,525,12438
20212022,8,BOONE,35,Boone County,55,Chester Goodridge Elementary School,35055,A1,607,11695
20212022,8,BOONE,35,Boone County,65,Hillard Collins Elementary School,35065,A1,471,14422
20212022,8,BOONE,35,Boone County,71,Larry A. Ryle High School,35071,A1,1983,10132
20212022,8,BOONE,35,Boone County,75,Gray Middle School,35075,A1,1012,10452
20212022,8,BOONE,35,Boone County,80,New Haven Elementary School,35080,A1,636,11594
20212022,8,BOONE,35,Boone County,81,Ockerman Elementary School,35081,A1,729,11266
20212022,8,BOONE,35,Boone County,83,Stephens Elementary School,35083,A1,506,13346
20212022,8,BOONE,35,Boone County,85,Ockerman Middle School,35085,A1,664,10856
20212022,8,BOONE,35,Boone County,135,ACCEL Academy,35135,A5,276,
20212022,8,BOONE,35,Boone County,170,RISE Academy,35170,A5,114,
20212022,9,BOURBON,41,Bourbon County,10,Bourbon Central Elementary School,41010,A1,515,15619
20212022,9,BOURBON,41,Bourbon County,11,Bourbon County Preschool Headstart,41011,A4,0,
