SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,STATE_SCH_ID,NCESID,COOP,COOP_CODE,WHITE_MALE_COUNT,WHITE_FEMALE_COUNT,WHITE_TOTAL,BLACK_MALE_COUNT,BLACK_FEMALE_COUNT,BLACK_TOTAL,HISPANIC_MALE_COUNT,HISPANIC_FEMALE_COUNT,HISPANIC_TOTAL,ASIAN_MALE_COUNT,ASIAN_FEMALE_COUNT,ASIAN_TOTAL,AIAN_COUNT,AIAN_FEMALE_COUNT,AIAN_TOTAL,HAWAIIAN_MALE_COUNT,HAWAIIAN_FEMALE_COUNT,HAWAIIAN_TOTAL_COUNT,TWOORMORE_MALE_COUNT,TWOORMORE_FEMALE_COUNT,TWOORMORE_TOTAL,MALE_TOTAL,FEMALE_TOTAL,MEMBERSHIP_TOTAL
20172018,1,ADAIR,1,Adair County,16,Adair County Elementary School,1001016,210003002021,GRREC,902,272,285,557,5,4,9,21,13,34,1,1,2,0,0,0,0,0,0,18,16,34,317,319,636
20172018,1,ADAIR,1,Adair County,10,Adair County High School,1001010,210003000001,GRREC,902,375,361,736,10,5,15,21,10,31,1,0,1,0,0,0,0,0,0,15,11,26,422,387,809
20172018,1,ADAIR,1,Adair County,14,Adair County Middle School,1001014,210003001919,GRREC,902,280,237,517,5,7,12,16,16,32,2,0,2,0,0,0,0,0,0,8,6,14,311,266,577
20172018,1,ADAIR,1,Adair County,20,Adair County Primary Center,1001020,210003002345,GRREC,902,258,218,476,5,2,7,12,16,28,0,1,1,0,0,0,0,0,0,12,11,23,287,248,535
20172018,1,ADAIR,1,Adair County,12,Adair Learning Academy,1001012,210003001913,GRREC,902,15,2,17,14,0,14,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,33,2,35
20172018,1,ADAIR,1,Adair County,,---District Total---,,,GRREC,902,1200,1103,2303,39,18,57,71,55,126,4,2,6,0,0,0,0,0,0,56,44,100,1370,1222,2592
20172018,2,ALLEN,5,Allen County,901,Allen County Career and Technical Center,2005901,210007002061,GRREC,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20172018,2,ALLEN,5,Allen County,60,Allen County Intermediate Center,2005060,210007000013,GRREC,902,323,352,675,2,1,3,17,16,33,1,4,5,1,0,1,0,0,0,4,2,6,348,375,723
20172018,2,ALLEN,5,Allen County,10,Allen County Primary Center,2005010,210007000008,GRREC,902,421,399,820,2,6,8,17,20,37,4,3,7,0,0,0,0,0,0,22,8,30,466,436,902
20172018,2,ALLEN,5,Allen County,20,Allen County-Scottsville High School,2005020,210007000010,GRREC,902,423,427,850,3,5,8,21,11,32,1,2,3,0,0,0,0,0,0,4,6,10,452,451,903
20172018,2,ALLEN,5,Allen County,15,James E Bazzell Middle School,2005015,210007000009,GRREC,902,209,184,393,1,4,5,6,3,9,1,0,1,0,0,0,1,0,1,7,10,17,225,201,426
20172018,2,ALLEN,5,Allen County,,---District Total---,,,GRREC,902,1376,1362,2738,8,16,24,61,50,111,7,9,16,1,0,1,1,0,1,37,26,63,1491,1463,2954
20172018,56,JEFFERSON,6,Anchorage Independent,10,Anchorage Independent Public School,56006010,210009000014,OVEC,906,183,148,331,3,1,4,6,4,10,11,12,23,0,0,0,0,0,0,5,6,11,208,171,379
20172018,56,JEFFERSON,6,Anchorage Independent,,---District Total---,,,OVEC,906,183,148,331,3,1,4,6,4,10,11,12,23,0,0,0,0,0,0,5,6,11,208,171,379
20172018,3,ANDERSON,11,Anderson County,30,APEX Academy,3011030,210012002371,CKEC,901,17,5,22,0,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,2,2,18,11,29
20172018,3,ANDERSON,11,Anderson County,20,Anderson County High School,3011020,210012000016,CKEC,901,470,468,938,6,8,14,13,19,32,2,9,11,2,0,2,0,0,0,21,21,42,514,525,1039
20172018,3,ANDERSON,11,Anderson County,25,Anderson County Middle School,3011025,210012000017,CKEC,901,405,395,800,8,8,16,19,10,29,1,3,4,0,1,1,0,0,0,14,17,31,447,434,881
20172018,3,ANDERSON,11,Anderson County,110,Emma B. Ward Elementary School,3011110,210012000021,CKEC,901,235,197,432,3,4,7,2,5,7,4,3,7,0,0,0,0,0,0,7,10,17,251,219,470
20172018,3,ANDERSON,11,Anderson County,120,Ezra Sparrow Early Childhood Center,3011120,210012001298,CKEC,901,73,62,135,2,0,2,4,3,7,1,1,2,0,0,0,0,0,0,0,4,4,80,70,150
