End Year,End Year Code,District,District Code,School,School Code,Level,Level Code,Proficiency Score,Classification,Classification Code,Rating,Rating Code,Reported Spending per student,Money Difference per school
2012,0,Adair County,1,Adair County High School,1010,HS,2,55,Needs Improvement,0.0,Medium,2.0,6460.0,-36400.0
2012,0,Adair County,1,John Adair Intermediate School,1013,ES,0,69,Proficient,1.0,Medium,2.0,7200.0,-19900.0
2012,0,Adair County,1,Adair County Middle School,1014,MS,1,48,Needs Improvement,0.0,Low,1.0,6720.0,-55700.0
2012,0,Adair County,1,Adair County Elementary School,1016,ES,0,63,Proficient,1.0,Low,1.0,7260.0,-33800.0
2012,0,Allen County,5,Allen County Primary Center,5010,ES,0,50,Needs Improvement,0.0,Low,1.0,7930.0,190500.0
2012,0,Allen County,5,James E Bazzell Middle School,5015,MS,1,57,Needs Improvement,0.0,Medium,2.0,7640.0,78600.0
2012,0,Allen County,5,Allen County-Scottsville High School,5020,HS,2,51,Needs Improvement,0.0,Medium,2.0,8500.0,157000.0
2012,0,Allen County,5,Allen County Intermediate Center,5060,ES,0,56,Needs Improvement,0.0,Low,1.0,6570.0,114200.0
2012,0,Anchorage Independent,6,Anchorage Independent Public School,6010,MS,1,92,Distinguished,2.0,High,3.0,19850.0,50100.0
2012,0,Anchorage Independent,6,Anchorage Independent Public School,6010,ES,0,71,Distinguished,2.0,Medium,2.0,19850.0,50100.0
2012,0,Anderson County,11,Anderson County High School,11020,HS,2,60,Proficient,1.0,Medium,2.0,5830.0,-39600.0
2012,0,Anderson County,11,Robert B. Turner Elementary School,11022,ES,0,67,Proficient,1.0,Medium,2.0,5550.0,-72000.0
2012,0,Anderson County,11,Anderson County Middle School,11025,MS,1,53,Needs Improvement,0.0,Low,1.0,4940.0,-85000.0
2012,0,Anderson County,11,Saffell Street Elementary School,11050,ES,0,54,Needs Improvement,0.0,Low,1.0,6240.0,20200.0
2012,0,Anderson County,11,Emma B. Ward Elementary School,11110,ES,0,62,Needs Improvement,0.0,Low,1.0,6440.0,-61300.0
2012,0,Ashland Independent,12,Paul G. Blazer High School,12010,HS,2,59,Proficient,1.0,Medium,2.0,6980.0,49800.0
2012,0,Ashland Independent,12,Ashland Middle School,12050,MS,1,56,Needs Improvement,0.0,Medium,2.0,7940.0,55400.0
2012,0,Ashland Independent,12,Crabbe Elementary School,12070,ES,0,48,Needs Improvement,0.0,Low,1.0,7990.0,36900.0
2012,0,Ashland Independent,12,Hager Elementary School,12080,ES,0,76,Distinguished,2.0,Medium,2.0,6450.0,31900.0
2012,0,Ashland Independent,12,Oakview Elementary School,12100,ES,0,63,Proficient,1.0,Medium,2.0,7470.0,48700.0
2012,0,Ashland Independent,12,Poage Elementary School,12110,ES,0,64,Proficient,1.0,Medium,2.0,8950.0,12900.0
2012,0,Ashland Independent,12,Charles Russell Elementary School,12130,ES,0,65,Proficient,1.0,Medium,2.0,8130.0,26100.0
2012,0,Augusta Independent,13,Augusta Independent School,13011,ES,0,46,Needs Improvement,0.0,Low,1.0,7180.0,19400.0
2012,0,Augusta Independent,13,Augusta Independent School,13011,MS,1,47,Needs Improvement,0.0,Low,1.0,7180.0,19400.0
2012,0,Augusta Independent,13,Augusta Independent School,13011,HS,2,58,Needs Improvement,0.0,Medium,2.0,7180.0,19400.0
2012,0,Ballard County,15,Ballard County Middle School,15005,MS,1,63,Proficient,1.0,Medium,2.0,4760.0,-32500.0
2012,0,Ballard County,15,Ballard Memorial High School,15010,HS,2,54,Needs Improvement,0.0,Medium,2.0,7270.0,65400.0
2012,0,Ballard County,15,Ballard County Elementary School,15050,ES,0,59,Needs Improvement,0.0,Low,1.0,6390.0,92200.0
2012,0,Barbourville Independent,16,Barbourville City School,16011,HS,2,57,Needs Improvement,0.0,Medium,2.0,4670.0,15700.0
2012,0,Barbourville Independent,16,Barbourville City School,16011,ES,0,45,Needs Improvement,0.0,Low,1.0,4670.0,15700.0
2012,0,Barbourville Independent,16,Barbourville City School,16011,MS,1,50,Needs Improvement,0.0,Low,1.0,4670.0,15700.0
2012,0,Bardstown Independent,17,Bardstown Elementary School,17010,ES,0,51,Needs Improvement,0.0,Low,1.0,5760.0,15500.0
2012,0,Bardstown Independent,17,Bardstown High School,17020,HS,2,56,Needs Improvement,0.0,Medium,2.0,6480.0,-10200.0
2012,0,Bardstown Independent,17,Bardstown Middle School,17030,MS,1,48,Needs Improvement,0.0,Low,1.0,5910.0,14600.0
2012,0,Barren County,21,Austin Tracy Elementary School,21010,ES,0,56,Needs Improvement,0.0,Low,1.0,9480.0,24300.0
2012,0,Barren County,21,North Jackson Elementary,21014,ES,0,72,Distinguished,2.0,Medium,2.0,7390.0,31400.0
2012,0,Barren County,21,Barren County High School,21027,HS,2,50,Needs Improvement,0.0,Medium,2.0,7870.0,110900.0
2012,0,Barren County,21,Eastern Elementary School,21035,ES,0,61,Needs Improvement,0.0,Low,1.0,7100.0,-87700.0
2012,0,Barren County,21,Barren County Middle School,21050,MS,1,62,Proficient,1.0,Medium,2.0,6900.0,54300.0
2012,0,Barren County,21,Hiseville Elementary School,21080,ES,0,61,Needs Improvement,0.0,Low,1.0,8390.0,25500.0
2012,0,Barren County,21,Park City Elementary School,21130,ES,0,56,Needs Improvement,0.0,Low,1.0,8280.0,75700.0
2012,0,Barren County,21,Red Cross Elementary School,21150,ES,0,59,Needs Improvement,0.0,Low,1.0,7800.0,68200.0
2012,0,Barren County,21,Temple Hill Elementary School,21180,ES,0,70,Distinguished,2.0,Medium,2.0,8690.0,72000.0
