End Year,End Year Code,District,District Code,School,School Code,Level,Level Code,Reported Spending per student,Student Count,Educator Count,Years of experience,Teacher salary based on experience,District teacher salary average,Money Difference per school,Money Difference per student,Estimated Spending per student
2012,0,Adair County,1,Adair County High School,1010,HS,2.0,6460.0,698.0,42.0,17.0,47186.0,48053.0,-36400.0,-52.0,6405.0
2012,0,Adair County,1,John Adair Intermediate School,1013,ES,0.0,7200.0,356.0,23.0,18.0,47186.0,48053.0,-19900.0,-56.0,7142.0
2012,0,Adair County,1,Adair County Middle School,1014,MS,1.0,6720.0,386.0,24.0,14.0,45733.0,48053.0,-55700.0,-144.0,6575.0
2012,0,Adair County,1,Adair County Elementary School,1016,ES,0.0,7260.0,597.0,39.0,19.0,47186.0,48053.0,-33800.0,-57.0,7204.0
2012,0,Allen County,5,Allen County Primary Center,5010,ES,0.0,7930.0,907.0,63.0,12.0,49759.0,46735.0,190500.0,210.0,8137.0
2012,0,Allen County,5,James E Bazzell Middle School,5015,MS,1.0,7640.0,441.0,26.0,12.0,49759.0,46735.0,78600.0,178.0,7822.0
2012,0,Allen County,5,Allen County-Scottsville High School,5020,HS,2.0,8500.0,852.0,55.0,10.0,49589.0,46735.0,157000.0,184.0,8685.0
2012,0,Allen County,5,Allen County Intermediate Center,5060,ES,0.0,6570.0,714.0,40.0,10.0,49589.0,46735.0,114200.0,160.0,6728.0
2012,0,Anchorage Independent,6,Anchorage Independent Public School,6010,MS,1.0,19850.0,362.0,31.0,18.0,62207.0,60590.0,50100.0,138.0,19984.0
2012,0,Anchorage Independent,6,Anchorage Independent Public School,6010,ES,0.0,19850.0,362.0,31.0,18.0,62207.0,60590.0,50100.0,138.0,19984.0
2012,0,Anderson County,11,Anderson County High School,11020,HS,2.0,5830.0,1208.0,66.0,12.0,45826.0,46426.0,-39600.0,-33.0,5798.0
2012,0,Anderson County,11,Robert B. Turner Elementary School,11022,ES,0.0,5550.0,475.0,27.0,9.0,43761.0,46426.0,-72000.0,-151.0,5400.0
2012,0,Anderson County,11,Anderson County Middle School,11025,MS,1.0,4940.0,867.0,43.0,10.0,44450.0,46426.0,-85000.0,-98.0,4841.0
2012,0,Anderson County,11,Saffell Street Elementary School,11050,ES,0.0,6240.0,455.0,26.0,14.0,47204.0,46426.0,20200.0,44.0,6280.0
2012,0,Anderson County,11,Emma B. Ward Elementary School,11110,ES,0.0,6440.0,478.0,31.0,10.0,44450.0,46426.0,-61300.0,-128.0,6310.0
2012,0,Anderson County,11,Ezra Sparrow Early Childhood Center,11120,ES,0.0,10800.0,281.0,24.0,10.0,44450.0,46426.0,-47400.0,-169.0,10631.0
2012,0,Ashland Independent,12,Paul G. Blazer High School,12010,HS,2.0,6980.0,891.0,54.0,14.0,50090.0,49168.0,49800.0,56.0,7039.0
2012,0,Ashland Independent,12,Ashland Middle School,12050,MS,1.0,7940.0,492.0,33.0,16.0,50847.0,49168.0,55400.0,113.0,8055.0
2012,0,Ashland Independent,12,Crabbe Elementary School,12070,ES,0.0,7990.0,383.0,22.0,16.0,50847.0,49168.0,36900.0,96.0,8088.0
2012,0,Ashland Independent,12,Hager Elementary School,12080,ES,0.0,6450.0,333.0,19.0,16.0,50847.0,49168.0,31900.0,96.0,6542.0
2012,0,Ashland Independent,12,Oakview Elementary School,12100,ES,0.0,7470.0,434.0,29.0,16.0,50847.0,49168.0,48700.0,112.0,7583.0
2012,0,Ashland Independent,12,Poage Elementary School,12110,ES,0.0,8950.0,232.0,14.0,14.0,50090.0,49168.0,12900.0,56.0,9003.0
2012,0,Ashland Independent,12,Charles Russell Elementary School,12130,ES,0.0,8130.0,321.0,20.0,15.0,50471.0,49168.0,26100.0,81.0,8207.0
2012,0,Augusta Independent,13,Augusta Independent School,13011,ES,0.0,7180.0,292.0,20.0,6.0,39039.0,38070.0,19400.0,66.0,7244.0
2012,0,Augusta Independent,13,Augusta Independent School,13011,MS,1.0,7180.0,292.0,20.0,6.0,39039.0,38070.0,19400.0,66.0,7244.0
2012,0,Augusta Independent,13,Augusta Independent School,13011,HS,2.0,7180.0,292.0,20.0,6.0,39039.0,38070.0,19400.0,66.0,7244.0
2012,0,Ballard County,15,Ballard County Middle School,15005,MS,1.0,4760.0,320.0,15.0,8.0,42729.0,44895.0,-32500.0,-102.0,4655.0
2012,0,Ballard County,15,Ballard Memorial High School,15010,HS,2.0,7270.0,416.0,31.0,10.0,47006.0,44895.0,65400.0,157.0,7424.0
2012,0,Ballard County,15,Ballard County Elementary School,15050,ES,0.0,6390.0,577.0,33.0,13.0,47689.0,44895.0,92200.0,160.0,6551.0
2012,0,Barbourville Independent,16,Barbourville City School,16011,HS,2.0,4670.0,665.0,30.0,12.0,47013.0,46490.0,15700.0,24.0,4694.0
2012,0,Barbourville Independent,16,Barbourville City School,16011,ES,0.0,4670.0,665.0,30.0,12.0,47013.0,46490.0,15700.0,24.0,4694.0
2012,0,Barbourville Independent,16,Barbourville City School,16011,MS,1.0,4670.0,665.0,30.0,12.0,47013.0,46490.0,15700.0,24.0,4694.0
2012,0,Bardstown Independent,17,Bardstown Elementary School,17010,ES,0.0,5760.0,585.0,33.0,12.0,53836.0,53365.0,15500.0,27.0,5788.0
2012,0,Bardstown Independent,17,Bardstown Primary School,17012,ES,0.0,6140.0,697.0,41.0,12.0,53836.0,53365.0,19300.0,28.0,6167.0
2012,0,Bardstown Independent,17,Bardstown High School,17020,HS,2.0,6480.0,633.0,36.0,10.0,53082.0,53365.0,-10200.0,-16.0,6468.0
2012,0,Bardstown Independent,17,Bardstown Middle School,17030,MS,1.0,5910.0,533.0,31.0,12.0,53836.0,53365.0,14600.0,27.0,5936.0
2012,0,Barren County,21,Austin Tracy Elementary School,21010,ES,0.0,9480.0,235.0,16.0,11.0,49131.0,47612.0,24300.0,103.0,9578.0
2012,0,Barren County,21,College Street Campus,21011,HS,2.0,,75.0,,,,,,,
2012,0,Barren County,21,BAVEL,21012,HS,2.0,,184.0,,,,,,,
2012,0,Barren County,21,North Jackson Elementary,21014,ES,0.0,7390.0,429.0,22.0,10.0,49041.0,47612.0,31400.0,73.0,7462.0
2012,0,Barren County,21,Barren County High School,21027,HS,2.0,7870.0,1278.0,73.0,11.0,49131.0,47612.0,110900.0,87.0,7954.0
2012,0,Barren County,21,Eastern Elementary School,21035,ES,0.0,7100.0,358.0,21.0,8.0,43438.0,47612.0,-87700.0,-245.0,6855.0
2012,0,Barren County,21,Barren County Middle School,21050,MS,1.0,6900.0,661.0,38.0,10.0,49041.0,47612.0,54300.0,82.0,6979.0
2012,0,Barren County,21,Hiseville Elementary School,21080,ES,0.0,8390.0,252.0,15.0,13.0,49315.0,47612.0,25500.0,101.0,8490.0
2012,0,Barren County,21,Park City Elementary School,21130,ES,0.0,8280.0,353.0,20.0,15.0,51399.0,47612.0,75700.0,215.0,8500.0
2012,0,Barren County,21,Red Cross Elementary School,21150,ES,0.0,7800.0,651.0,38.0,14.0,49406.0,47612.0,68200.0,105.0,7910.0
