District Code,District,School,School Code,Level,End Year,Reported Spending per student,Student Count,Educator Count,Years of experience
1,Adair County,Adair County High School,1010,HS,2012,6457,698,42,17
1,Adair County,John Adair Intermediate School,1013,ES,2012,7198,356,23,18
1,Adair County,Adair County Middle School,1014,MS,2012,6719,386,24,14
1,Adair County,Adair County Elementary School,1016,ES,2012,7261,597,39,19
5,Allen County,Allen County Primary Center,5010,ES,2012,7927,907,63,12
5,Allen County,James E Bazzell Middle School,5015,MS,2012,7644,441,26,12
5,Allen County,Allen County-Scottsville High School,5020,HS,2012,8501,852,55,10
5,Allen County,Allen County Intermediate Center,5060,ES,2012,6568,714,40,10
6,Anchorage Independent,Anchorage Independent Public School,6010,MS,2012,19846,362,31,18
6,Anchorage Independent,Anchorage Independent Public School,6010,ES,2012,19846,362,31,18
11,Anderson County,Anderson County High School,11020,HS,2012,5831,1208,66,12
11,Anderson County,Robert B. Turner Elementary School,11022,ES,2012,5551,475,27,9
11,Anderson County,Anderson County Middle School,11025,MS,2012,4939,867,43,10
11,Anderson County,Saffell Street Elementary School,11050,ES,2012,6236,455,26,14
11,Anderson County,Emma B. Ward Elementary School,11110,ES,2012,6438,478,31,10
11,Anderson County,Ezra Sparrow Early Childhood Center,11120,ES,2012,10800,281,24,10
12,Ashland Independent,Paul G. Blazer High School,12010,HS,2012,6983,891,54,14
12,Ashland Independent,Ashland Middle School,12050,MS,2012,7942,492,33,16
12,Ashland Independent,Crabbe Elementary School,12070,ES,2012,7992,383,22,16
12,Ashland Independent,Hager Elementary School,12080,ES,2012,6446,333,19,16
12,Ashland Independent,Oakview Elementary School,12100,ES,2012,7471,434,29,16
12,Ashland Independent,Poage Elementary School,12110,ES,2012,8947,232,14,14
12,Ashland Independent,Charles Russell Elementary School,12130,ES,2012,8126,321,20,15
13,Augusta Independent,Augusta Independent School,13011,ES,2012,7178,292,20,6
13,Augusta Independent,Augusta Independent School,13011,MS,2012,7178,292,20,6
