District Code,District,School,School Code,Level,End Year,Reported Spending per student,Student Count,Educator Count,Years of experience
1,Adair County,Adair County High School,1010,HS,2012,6457.0,698.0,42.0,17.0
1,Adair County,John Adair Intermediate School,1013,ES,2012,7198.0,356.0,23.0,18.0
1,Adair County,Adair County Middle School,1014,MS,2012,6719.0,386.0,24.0,14.0
1,Adair County,Adair County Elementary School,1016,ES,2012,7261.0,597.0,39.0,19.0
5,Allen County,Allen County Primary Center,5010,ES,2012,7927.0,907.0,63.0,12.0
5,Allen County,James E Bazzell Middle School,5015,MS,2012,7644.0,441.0,26.0,12.0
5,Allen County,Allen County-Scottsville High School,5020,HS,2012,8501.0,852.0,55.0,10.0
5,Allen County,Allen County Intermediate Center,5060,ES,2012,6568.0,714.0,40.0,10.0
6,Anchorage Independent,Anchorage Independent Public School,6010,MS,2012,19846.0,362.0,31.0,18.0
6,Anchorage Independent,Anchorage Independent Public School,6010,ES,2012,19846.0,362.0,31.0,18.0
11,Anderson County,Anderson County High School,11020,HS,2012,5831.0,1208.0,66.0,12.0
11,Anderson County,Robert B. Turner Elementary School,11022,ES,2012,5551.0,475.0,27.0,9.0
11,Anderson County,Anderson County Middle School,11025,MS,2012,4939.0,867.0,43.0,10.0
11,Anderson County,Saffell Street Elementary School,11050,ES,2012,6236.0,455.0,26.0,14.0
11,Anderson County,Emma B. Ward Elementary School,11110,ES,2012,6438.0,478.0,31.0,10.0
11,Anderson County,Ezra Sparrow Early Childhood Center,11120,ES,2012,10800.0,281.0,24.0,10.0
12,Ashland Independent,Paul G. Blazer High School,12010,HS,2012,6983.0,891.0,54.0,14.0
12,Ashland Independent,Ashland Middle School,12050,MS,2012,7942.0,492.0,33.0,16.0
12,Ashland Independent,Crabbe Elementary School,12070,ES,2012,7992.0,383.0,22.0,16.0
12,Ashland Independent,Hager Elementary School,12080,ES,2012,6446.0,333.0,19.0,16.0
12,Ashland Independent,Oakview Elementary School,12100,ES,2012,7471.0,434.0,29.0,16.0
12,Ashland Independent,Poage Elementary School,12110,ES,2012,8947.0,232.0,14.0,14.0
12,Ashland Independent,Charles Russell Elementary School,12130,ES,2012,8126.0,321.0,20.0,15.0
13,Augusta Independent,Augusta Independent School,13011,ES,2012,7178.0,292.0,20.0,6.0
13,Augusta Independent,Augusta Independent School,13011,MS,2012,7178.0,292.0,20.0,6.0
13,Augusta Independent,Augusta Independent School,13011,HS,2012,7178.0,292.0,20.0,6.0
15,Ballard County,Ballard County Middle School,15005,MS,2012,4757.0,320.0,15.0,8.0
15,Ballard County,Ballard Memorial High School,15010,HS,2012,7267.0,416.0,31.0,10.0
15,Ballard County,Ballard County Elementary School,15050,ES,2012,6391.0,577.0,33.0,13.0
16,Barbourville Independent,Barbourville City School,16011,HS,2012,4670.0,665.0,30.0,12.0
16,Barbourville Independent,Barbourville City School,16011,ES,2012,4670.0,665.0,30.0,12.0
16,Barbourville Independent,Barbourville City School,16011,MS,2012,4670.0,665.0,30.0,12.0
17,Bardstown Independent,Bardstown Elementary School,17010,ES,2012,5761.0,585.0,33.0,12.0
17,Bardstown Independent,Bardstown Primary School,17012,ES,2012,6139.0,697.0,41.0,12.0
17,Bardstown Independent,Bardstown High School,17020,HS,2012,6484.0,633.0,36.0,10.0
17,Bardstown Independent,Bardstown Middle School,17030,MS,2012,5909.0,533.0,31.0,12.0
21,Barren County,Austin Tracy Elementary School,21010,ES,2012,9475.0,235.0,16.0,11.0
21,Barren County,College Street Campus,21011,HS,2012,,75.0,,
21,Barren County,BAVEL,21012,HS,2012,,184.0,,
21,Barren County,North Jackson Elementary,21014,ES,2012,7389.0,429.0,22.0,10.0
21,Barren County,Barren County High School,21027,HS,2012,7867.0,1278.0,73.0,11.0
21,Barren County,Eastern Elementary School,21035,ES,2012,7100.0,358.0,21.0,8.0
21,Barren County,Barren County Middle School,21050,MS,2012,6897.0,661.0,38.0,10.0
21,Barren County,Hiseville Elementary School,21080,ES,2012,8389.0,252.0,15.0,13.0
21,Barren County,Park City Elementary School,21130,ES,2012,8285.0,353.0,20.0,15.0
21,Barren County,Red Cross Elementary School,21150,ES,2012,7805.0,651.0,38.0,14.0
21,Barren County,Temple Hill Elementary School,21180,ES,2012,8691.0,319.0,19.0,15.0
25,Bath County,Crossroads Elementary School,25014,ES,2012,6691.0,454.0,30.0,10.0
25,Bath County,Bath County Middle School,25020,MS,2012,5337.0,492.0,30.0,9.0
25,Bath County,Owingsville Elementary School,25030,ES,2012,6400.0,525.0,35.0,9.0
25,Bath County,Bath County High School,25040,HS,2012,7216.0,575.0,36.0,13.0
26,Beechwood Independent,Beechwood Elementary School,26010,ES,2012,6396.0,607.0,38.0,12.0
26,Beechwood Independent,Beechwood High School,26020,HS,2012,6908.0,573.0,34.0,12.0
26,Beechwood Independent,Beechwood High School,26020,MS,2012,6908.0,573.0,34.0,12.0
31,Bell County,Bell Central School Center,31012,ES,2012,8505.0,574.0,38.0,12.0
31,Bell County,Bell Central School Center,31012,MS,2012,8505.0,574.0,38.0,12.0
31,Bell County,Page School Center,31013,MS,2012,7743.0,461.0,28.0,16.0
31,Bell County,Page School Center,31013,ES,2012,7743.0,461.0,28.0,16.0
31,Bell County,Bell County High School,31040,HS,2012,7820.0,765.0,47.0,14.0
31,Bell County,Frakes School Center,31180,ES,2012,11352.0,153.0,12.0,14.0
31,Bell County,Frakes School Center,31180,MS,2012,11352.0,153.0,12.0,14.0
31,Bell County,Lone Jack School Center,31250,MS,2012,9425.0,220.0,19.0,14.0
31,Bell County,Lone Jack School Center,31250,ES,2012,9425.0,220.0,19.0,14.0
31,Bell County,Right Fork School Center,31345,MS,2012,8470.0,232.0,14.0,11.0
31,Bell County,Right Fork School Center,31345,ES,2012,8470.0,232.0,14.0,11.0
31,Bell County,Yellow Creek School Center,31390,ES,2012,7677.0,448.0,26.0,16.0
31,Bell County,Yellow Creek School Center,31390,MS,2012,7677.0,448.0,26.0,16.0
32,Bellevue Independent,Bellevue High School,32010,HS,2012,7146.0,350.0,22.0,10.0
32,Bellevue Independent,Bellevue High School,32010,MS,2012,7146.0,350.0,22.0,10.0
32,Bellevue Independent,Grandview Elementary School,32020,ES,2012,6154.0,407.0,27.0,11.0
34,Berea Independent,Berea Community Elementary School,34010,ES,2012,6503.0,515.0,37.0,13.0
34,Berea Independent,Berea Community Middle School,34015,MS,2012,6088.0,275.0,20.0,12.0
34,Berea Independent,Berea Community High School,34020,HS,2012,6575.0,297.0,16.0,14.0
35,Boone County,A M Yealey Elementary School,35005,ES,2012,7750.0,627.0,40.0,13.0
35,Boone County,Erpenbeck Elementary School,35006,ES,2012,6821.0,658.0,41.0,10.0
35,Boone County,North Pointe Elementary School,35008,ES,2012,5839.0,1061.0,60.0,10.0
35,Boone County,Camp Ernst Middle School,35010,MS,2012,6081.0,971.0,57.0,12.0
35,Boone County,Shirley Mann Elementary School,35011,ES,2012,6155.0,812.0,45.0,12.0
35,Boone County,Randall K. Cooper High School,35015,HS,2012,6712.0,1008.0,60.0,9.0
35,Boone County,Longbranch Elementary School,35017,ES,2012,5850.0,787.0,40.0,13.0
35,Boone County,Rector A. Jones Middle School,35020,MS,2012,7494.0,658.0,44.0,9.0
35,Boone County,Boone County High School,35030,HS,2012,6891.0,1335.0,87.0,13.0
35,Boone County,Burlington Elementary School,35040,ES,2012,6789.0,900.0,54.0,12.0
35,Boone County,Charles H. Kelly Elementary School,35041,ES,2012,11799.0,242.0,24.0,16.0
35,Boone County,Conner Middle School,35043,MS,2012,5967.0,1071.0,62.0,11.0
35,Boone County,Conner High School,35045,HS,2012,6681.0,1182.0,74.0,11.0
